Reference,Clause,Description,Initial Assessment Points,Findings,Status
C.6,Planning,"Clause 6 requires planning for risks/opportunities, risk assessment and treatment, and setting measurable objectives with plans.",–,,
C.6.1.1,Actions to address risks and opportunities - General,"Plan actions to address risks and opportunities that could impact the ISMS outcomes. Integrate these actions into processes, assign owners, resources, and evaluation criteria, and plan changes in a controlled manner.",1. Has the organization planned actions to address risks and opportunities?,,
C.6.1.1,Actions to address risks and opportunities - General,"Plan actions to address risks and opportunities that could impact the ISMS outcomes. Integrate these actions into processes, assign owners, resources, and evaluation criteria, and plan changes in a controlled manner.",2. Are these integrated into ISMS processes?,,
C.6.1.1,Actions to address risks and opportunities - General,"Plan actions to address risks and opportunities that could impact the ISMS outcomes. Integrate these actions into processes, assign owners, resources, and evaluation criteria, and plan changes in a controlled manner.",3. Is effectiveness of actions monitored?,,
C.6.1.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.",1. Is a risk assessment methodology defined and applied?,,
C.6.1.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.","2. Are risks identified, analyzed, and evaluated consistently?",,
C.6.1.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.",3. Are results documented and updated regularly?,,
C.6.1.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",1. Are treatment options selected with justification?,,
C.6.1.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",2. Is a Statement of Applicability prepared and maintained?,,
C.6.1.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",3. Are controls implemented and monitored?,,
C.6.2,Information security objectives and planning to achieve them,"Set measurable information security objectives aligned with the policy and risk treatment plan. Define what will be done, resources, responsibilities, timelines, and evaluation methods; monitor and update objectives periodically.",1. Are ISMS objectives documented and measurable?,,
C.6.2,Information security objectives and planning to achieve them,"Set measurable information security objectives aligned with the policy and risk treatment plan. Define what will be done, resources, responsibilities, timelines, and evaluation methods; monitor and update objectives periodically.",2. Are objectives monitored and reviewed?,,
C.6.2,Information security objectives and planning to achieve them,"Set measurable information security objectives aligned with the policy and risk treatment plan. Define what will be done, resources, responsibilities, timelines, and evaluation methods; monitor and update objectives periodically.",3. Do objectives align with the ISMS policy?,,
C.7,Support,"Clause 7 ensures resources, competence, awareness, communications, and documented information control for the ISMS.",–,,
C.7.1,Resources,"Determine and provide resources (people, skills, infrastructure, technology, budget) needed for the ISMS and control operation. Evidence resource planning and adequacy reviews in management review inputs/outputs.",1. Are adequate resources provided for ISMS?,,
C.7.1,Resources,"Determine and provide resources (people, skills, infrastructure, technology, budget) needed for the ISMS and control operation. Evidence resource planning and adequacy reviews in management review inputs/outputs.",2. How are resource needs determined?,,
C.7.1,Resources,"Determine and provide resources (people, skills, infrastructure, technology, budget) needed for the ISMS and control operation. Evidence resource planning and adequacy reviews in management review inputs/outputs.",3. Is resource allocation reviewed regularly?,,
C.7.2,Competence,"Ensure competence of personnel affecting ISMS performance through education, training, skills, and experience. Identify gaps, provide training or other actions, evaluate effectiveness, and retain competence records.",1. Are staff competence records maintained?,,
C.7.2,Competence,"Ensure competence of personnel affecting ISMS performance through education, training, skills, and experience. Identify gaps, provide training or other actions, evaluate effectiveness, and retain competence records.",2. Are training/qualifications evaluated?,,
C.7.2,Competence,"Ensure competence of personnel affecting ISMS performance through education, training, skills, and experience. Identify gaps, provide training or other actions, evaluate effectiveness, and retain competence records.",3. Is effectiveness of training assessed?,,
C.7.3,Awareness,"Ensure personnel are aware of the information security policy, their contribution to ISMS effectiveness, implications of nonconformity, and current threats relevant to their role. Use periodic campaigns and onboarding to reinforce awareness.",1. Are staff aware of ISMS policy and objectives?,,
C.7.3,Awareness,"Ensure personnel are aware of the information security policy, their contribution to ISMS effectiveness, implications of nonconformity, and current threats relevant to their role. Use periodic campaigns and onboarding to reinforce awareness.",2. Are staff aware of implications of non-compliance?,,
C.7.3,Awareness,"Ensure personnel are aware of the information security policy, their contribution to ISMS effectiveness, implications of nonconformity, and current threats relevant to their role. Use periodic campaigns and onboarding to reinforce awareness.",3. Is awareness training conducted?,,
C.7.4,Communication,"Plan and implement internal and external communications relevant to the ISMS (what, when, with whom, how, who authorizes). Ensure consistency with incident communications, regulatory notifications, and stakeholder expectations.",1. Is there a defined communication plan?,,
C.7.4,Communication,"Plan and implement internal and external communications relevant to the ISMS (what, when, with whom, how, who authorizes). Ensure consistency with incident communications, regulatory notifications, and stakeholder expectations.",2. Are communication responsibilities assigned?,,
C.7.4,Communication,"Plan and implement internal and external communications relevant to the ISMS (what, when, with whom, how, who authorizes). Ensure consistency with incident communications, regulatory notifications, and stakeholder expectations.",3. Are communication records maintained?,,
C.7.5.1,Documented information - General,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",1. Is documented information available and adequate?,,
C.7.5.1,Documented information - General,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",2. Are ISMS documents reviewed for adequacy?,,
C.7.5.1,Documented information - General,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",3. Is access to documented information controlled?,,
C.7.5.2,Documented information - Creating and updating,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",1. Are documents reviewed and approved before issue?,,
C.7.5.2,Documented information - Creating and updating,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",2. Are document versions controlled?,,
C.7.5.2,Documented information - Creating and updating,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",3. Is document currency ensured?,,
C.7.5.3,Documented information - Control of documented information,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",1. Is distribution and access to docs controlled?,,
C.7.5.3,Documented information - Control of documented information,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",2. Are retention/disposal rules applied?,,
C.7.5.3,Documented information - Control of documented information,"Create, update, and control documented information required by ISO 27001 and the organization. Define formats, review/approval, versioning, access, retention/disposal, and protection of confidentiality/integrity/availability.",3. Is confidentiality preserved?,,
C.8,Operation,"Clause 8 requires operational control, periodic risk assessment, and implementation of risk treatment.",–,,
C.8.1,Operational planning and control,"Clause 6 requires planning for risks/opportunities, risk assessment and treatment, and setting measurable objectives with plans.",1. Are ISMS processes planned and controlled?,,
C.8.1,Operational planning and control,"Clause 6 requires planning for risks/opportunities, risk assessment and treatment, and setting measurable objectives with plans.",2. Is evidence of operational control maintained?,,
C.8.1,Operational planning and control,"Clause 6 requires planning for risks/opportunities, risk assessment and treatment, and setting measurable objectives with plans.",3. Are changes reviewed before implementation?,,
C.8.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.",1. Are risk assessments performed at intervals?,,
C.8.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.",2. Are assessments triggered by significant changes?,,
C.8.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.",3. Are assessment results documented?,,
C.8.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",1. Are risk treatment plans implemented?,,
C.8.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",2. Is effectiveness of treatments monitored?,,
C.8.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",3. Are treatment results documented?,,
C.9,Performance Evaluation,"Clause 9 focuses on monitoring, measurement, internal audit, and management review to evaluate ISMS performance.",–,,
C.9.1,"Monitoring, measurement, analysis, and evaluation","Determine what needs to be monitored and measured (e.g., control performance, incidents, KPIs), methods, responsibilities, timing, and evaluation. Retain evidence and use results to inform management review and continual improvement.",1. Are monitoring/measurement methods defined?,,
C.9.1,"Monitoring, measurement, analysis, and evaluation","Determine what needs to be monitored and measured (e.g., control performance, incidents, KPIs), methods, responsibilities, timing, and evaluation. Retain evidence and use results to inform management review and continual improvement.",2. Are results analyzed and evaluated?,,
C.9.1,"Monitoring, measurement, analysis, and evaluation","Determine what needs to be monitored and measured (e.g., control performance, incidents, KPIs), methods, responsibilities, timing, and evaluation. Retain evidence and use results to inform management review and continual improvement.",3. Are results documented and communicated?,,
C.9.2.1,Internal audit - General,"Plan, establish, implement, and maintain an internal audit program covering scope, frequency, methods, responsibilities, and reporting. Ensure objectivity and impartiality; report findings and track corrective actions to closure.",1. Is an internal audit programme established?,,
C.9.2.1,Internal audit - General,"Plan, establish, implement, and maintain an internal audit program covering scope, frequency, methods, responsibilities, and reporting. Ensure objectivity and impartiality; report findings and track corrective actions to closure.",2. Are audits ensuring ISMS conformity?,,
C.9.2.1,Internal audit - General,"Plan, establish, implement, and maintain an internal audit program covering scope, frequency, methods, responsibilities, and reporting. Ensure objectivity and impartiality; report findings and track corrective actions to closure.",3. Are audit results reported to management?,,
C.9.2.2,Internal audit programme,"Plan, establish, implement, and maintain an internal audit program covering scope, frequency, methods, responsibilities, and reporting. Ensure objectivity and impartiality; report findings and track corrective actions to closure.",1. Is audit frequency and scope defined?,,
C.9.2.2,Internal audit programme,"Plan, establish, implement, and maintain an internal audit program covering scope, frequency, methods, responsibilities, and reporting. Ensure objectivity and impartiality; report findings and track corrective actions to closure.",2. Are auditors independent and competent?,,
C.9.2.2,Internal audit programme,"Plan, establish, implement, and maintain an internal audit program covering scope, frequency, methods, responsibilities, and reporting. Ensure objectivity and impartiality; report findings and track corrective actions to closure.",3. Are audit results tracked?,,
C.9.3,Management review,"Top management conducts management reviews at planned intervals to ensure ISMS continuing suitability, adequacy, and effectiveness. Inputs include changes affecting the ISMS, performance, audit results, nonconformities, risk status, opportunities, and improvement needs.",1. Are management reviews conducted regularly?,,
C.9.3,Management review,"Top management conducts management reviews at planned intervals to ensure ISMS continuing suitability, adequacy, and effectiveness. Inputs include changes affecting the ISMS, performance, audit results, nonconformities, risk status, opportunities, and improvement needs.",2. Do reviews consider ISMS performance and opportunities?,,
C.9.3,Management review,"Top management conducts management reviews at planned intervals to ensure ISMS continuing suitability, adequacy, and effectiveness. Inputs include changes affecting the ISMS, performance, audit results, nonconformities, risk status, opportunities, and improvement needs.",3. Are review outputs documented?,,
C.10,Improvement,Clause 10 requires managing nonconformities with corrective actions and driving continual improvement of the ISMS.,–,,
C.10.1,Nonconformity and corrective action,"React to nonconformities, control and correct them, and deal with consequences. Evaluate causes, implement corrective actions, verify effectiveness, and update risks, controls, and documentation as needed.",1. Are nonconformities identified and addressed?,,
C.10.1,Nonconformity and corrective action,"React to nonconformities, control and correct them, and deal with consequences. Evaluate causes, implement corrective actions, verify effectiveness, and update risks, controls, and documentation as needed.",2. Are corrective actions taken promptly?,,
C.10.1,Nonconformity and corrective action,"React to nonconformities, control and correct them, and deal with consequences. Evaluate causes, implement corrective actions, verify effectiveness, and update risks, controls, and documentation as needed.",3. Are records of nonconformities maintained?,,
C.10.2,Continual improvement,"Continually improve the suitability, adequacy, and effectiveness of the ISMS using audit results, monitoring, incidents, feedback, and reviews. Maintain a continual improvement log and prioritize actions based on risk and business value.",1. Are opportunities for continual improvement identified?,,
C.10.2,Continual improvement,"Continually improve the suitability, adequacy, and effectiveness of the ISMS using audit results, monitoring, incidents, feedback, and reviews. Maintain a continual improvement log and prioritize actions based on risk and business value.",2. Is continual improvement embedded in ISMS?,,
C.10.2,Continual improvement,"Continually improve the suitability, adequacy, and effectiveness of the ISMS using audit results, monitoring, incidents, feedback, and reviews. Maintain a continual improvement log and prioritize actions based on risk and business value.",3. Are improvements monitored for effectiveness?,,
A.5,Organizational Controls,"Annex A A.5: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",–,,
A.5.1,Policies for information security,"Annex A A.5.1: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.",1. Are policies aligned with business objectives and risk landscape?,,
A.5.1,Policies for information security,"Annex A A.5.1: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.",2. How are policies communicated and acknowledged by staff/third parties?,,
A.5.1,Policies for information security,"Annex A A.5.1: Establish an information security policy framework that sets principles, responsibilities, and enforcement. Ensure policies are approved by management, communicated to users and third parties, reviewed at planned intervals, and supported by procedures/standards.",3. What is the review/approval cycle and evidence of updates?,,
A.5.2,Information security roles and responsibilities,"Annex A A.5.2: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",1. Are responsibilities mapped to processes (RACI/JDs)?,,
A.5.2,Information security roles and responsibilities,"Annex A A.5.2: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",2. Do control owners have authority/resources to act?,,
A.5.2,Information security roles and responsibilities,"Annex A A.5.2: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",3. How are role changes reflected promptly?,,
A.5.3,Segregation of duties,"Annex A A.5.3: Apply segregation of duties to reduce the risk of error or fraud. Separate incompatible activities (e.g., development vs. production changes, approval vs. execution) and implement technical and organizational controls where strict segregation is impractical.",1. Which high-risk tasks are segregated and how enforced?,,
A.5.3,Segregation of duties,"Annex A A.5.3: Apply segregation of duties to reduce the risk of error or fraud. Separate incompatible activities (e.g., development vs. production changes, approval vs. execution) and implement technical and organizational controls where strict segregation is impractical.",2. What compensating controls exist where SoD is infeasible?,,
A.5.3,Segregation of duties,"Annex A A.5.3: Apply segregation of duties to reduce the risk of error or fraud. Separate incompatible activities (e.g., development vs. production changes, approval vs. execution) and implement technical and organizational controls where strict segregation is impractical.",3. How often is SoD effectiveness reviewed?,,
A.5.4,Management responsibilities,"Annex A A.5.4: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.","1. What evidence shows leadership commitment (budget, KPIs)?",,
A.5.4,Management responsibilities,"Annex A A.5.4: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",2. How is accountability enforced for managers?,,
A.5.4,Management responsibilities,"Annex A A.5.4: Define, assign, and communicate information security roles, responsibilities, and authorities (e.g., risk owners, control operators, incident handlers). Prevent gaps/overlaps and retain evidence in job descriptions or RACIs.",3. Are security objectives integrated into business plans?,,
A.5.5,Contact with authorities,"Annex A A.5.5: Define processes and points of contact for communication with regulators, law enforcement, and supervisory bodies. Maintain readiness for regulatory notifications and lawful requests, preserving evidence and confidentiality.",1. Are authority contacts current and accessible?,,
A.5.5,Contact with authorities,"Annex A A.5.5: Define processes and points of contact for communication with regulators, law enforcement, and supervisory bodies. Maintain readiness for regulatory notifications and lawful requests, preserving evidence and confidentiality.",2. Is there a documented regulatory notification process?,,
A.5.5,Contact with authorities,"Annex A A.5.5: Define processes and points of contact for communication with regulators, law enforcement, and supervisory bodies. Maintain readiness for regulatory notifications and lawful requests, preserving evidence and confidentiality.",3. Have notification drills occurred recently?,,
A.5.6,Contact with special interest groups,"Annex A A.5.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Which groups/forums are engaged and how often?,,
A.5.6,Contact with special interest groups,"Annex A A.5.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How are insights captured and actioned?,,
A.5.6,Contact with special interest groups,"Annex A A.5.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Is participation value evaluated?,,
A.5.7,Threat intelligence,"Annex A A.5.7: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",1. What sources feed threat intelligence and how validated?,,
A.5.7,Threat intelligence,"Annex A A.5.7: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",2. How is TI integrated into monitoring/IR/risk?,,
A.5.7,Threat intelligence,"Annex A A.5.7: Systematically collect, analyze, and act on threat intelligence relevant to your sector, technologies, and geographies. Integrate outputs into risk assessment, detection use cases, and awareness programs; evaluate sources and timeliness.",3. What improvements resulted from TI usage?,,
A.5.8,Information security in project management,"Annex A A.5.8: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Do project charters include security requirements and acceptance criteria?,,
A.5.8,Information security in project management,"Annex A A.5.8: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are risks assessed and tracked in project logs?,,
A.5.8,Information security in project management,"Annex A A.5.8: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Is security sign-off required before go-live?,,
A.5.9,Inventory of information and other associated assets,"Annex A A.5.9: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is there a centralized asset register with owners and classification?,,
A.5.9,Inventory of information and other associated assets,"Annex A A.5.9: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How is the register updated on lifecycle events?,,
A.5.9,Inventory of information and other associated assets,"Annex A A.5.9: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are reconciliations performed with discovery/CMDB?,,
A.5.10,Acceptable use of information and other associated assets,"Annex A A.5.10: Define acceptable use rules for organizational assets (devices, networks, cloud services, data). Cover prohibited activities, privacy expectations, monitoring, and sanctions; obtain user acknowledgement.",1. Is an AUP documented and acknowledged?,,
A.5.10,Acceptable use of information and other associated assets,"Annex A A.5.10: Define acceptable use rules for organizational assets (devices, networks, cloud services, data). Cover prohibited activities, privacy expectations, monitoring, and sanctions; obtain user acknowledgement.",2. How is compliance monitored?,,
A.5.10,Acceptable use of information and other associated assets,"Annex A A.5.10: Define acceptable use rules for organizational assets (devices, networks, cloud services, data). Cover prohibited activities, privacy expectations, monitoring, and sanctions; obtain user acknowledgement.",3. How are violations handled and trended?,,
A.5.11,Return of assets,"Annex A A.5.11: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is there an exit checklist for returning assets and credentials?,,
A.5.11,Return of assets,"Annex A A.5.11: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How is completion verified?,,
A.5.11,Return of assets,"Annex A A.5.11: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are exceptions tracked and remediated?,,
A.5.12,Classification of information,"Annex A A.5.12: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",1. Is a classification scheme defined with examples and rules?,,
A.5.12,Classification of information,"Annex A A.5.12: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",2. How is classification applied to information assets?,,
A.5.12,Classification of information,"Annex A A.5.12: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",3. Are spot-checks performed for correctness?,,
A.5.13,Labelling of information,"Annex A A.5.13: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",1. Are labels/metadata auto-applied in key systems?,,
A.5.13,Labelling of information,"Annex A A.5.13: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",2. How are physical docs labeled and stored?,,
A.5.13,Labelling of information,"Annex A A.5.13: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",3. Are users trained on label handling?,,
