Reference,Clause,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Article 11,Data and system security,"As part of the ICT security policies, procedures, protocols, and tools referred to in Article 9(2) of Regulation (EU) 2022/2554, financial entities shall develop, document, and implement a data and system security procedure. The data and system security procedure referred to in paragraph 1 shall contain all of the following elements related to data and ICT system security, in accordance with the classification established in accordance with Article 8(1) of Regulation (EU) 2022/2554: (a) the access restrictions referred to in Article 21 of this Regulation, supporting the protection requirements for each level of classification; (b) the identification of a secure configuration baseline for ICT assets that minimise exposure of those ICT assets to cyber threats and measures to verify regularly that those baselines are effectively deployed; (c) the identification of security measures to ensure that only authorised software is installed in ICT systems and endpoint devices; (d) the identification of security measures against malicious codes; (e) the identification of security measures to ensure that only authorised data storage media, systems, and endpoint devices are used to transfer and store data of the financial entity; (f) the following requirements to secure the use of portable endpoint devices and private non-portable endpoint devices: (i) the requirement to use a management solution to remotely manage the endpoint devices and remotely wipe the financial entity’s data; (ii) the requirement to use security mechanisms that cannot be modified, removed or bypassed by staff members or ICT third-party service providers in an unauthorised manner; (iii) the requirement to use removable data storage devices only where the residual ICT risk remains within the financial entity’s risk tolerance level referred to in Article 3(1), point (a); (g) the process to securely delete data, present on premises of the financial entity or stored externally, that the financial entity no longer needs to collect or to store; (h) the process to securely dispose or decommission of data storage devices present on premises of the financial entity or stored externally containing confidential information; (i) the identification and implementation of security measures to prevent data loss and leakage for systems and endpoint devices; (j) the implementation of security measures to ensure that teleworking and the use of private endpoint devices does not adversely impact the ICT security of the financial entity; (k) for ICT assets or services operated by an ICT third-party service provider, the identification and implementation of requirements to maintain digital EN 21 EN operational resilience, in accordance with the results of the data classification and ICT risk assessment. For the purposes of point (b), the secure configuration baseline referred to in that point shall take into account leading practices and appropriate techniques laid down in the standards defined in Article 2, point (1), of Regulation (EU) No 1025/2012.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 11?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 12,Logging,"Financial entities shall, as part of the safeguards against intrusions and data misuse, develop, document, and implement logging procedures, protocols and tools. The logging procedures, protocols, and tools referred to in paragraph 1 shall contain all of the following: (a) the identification of the events to be logged, the retention period of the logs, and the measures to secure and handle the log data, considering the purpose for which the logs are created; (b) the alignment of the level of detail of the logs with their purpose and usage to enable the effective detection of anomalous activities as referred to in Article 24; (c) the requirement to log events related to all of the following: (i) logical and physical access control, as referred to in Article 21, and identity management; (ii) capacity management; (iii) change management; (iv) ICT operations, including ICT system activities; (v) network traffic activities, including ICT network performance; (d) measures to protect logging systems and log information against tampering, deletion, and unauthorised access at rest, in transit, and, where relevant, in use; EN 22 EN (e) measures to detect a failure of logging systems; (f) without prejudice to any applicable regulatory requirements under Union or national law, the synchronisation of the clocks of each of the financial entity’s ICT systems upon a documented reliable reference time source. For the purposes of point (a), financial entities shall establish the retention period, taking into account the business and information security objectives, the reason for recording the event in the logs, and the results of the ICT risk assessment.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 12?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 13,Network security management,"Financial entities shall, as part of the safeguards ensuring the security of networks against intrusions and data misuse, develop, document, and implement policies, procedures, protocols, and tools on network security management, including all of the following: (a) the segregation and segmentation of ICT systems and networks taking into account: (i) the criticality or importance of the function those ICT systems and networks support; (ii) the classification established in accordance with Article 8(1) of Regulation (EU) 2022/2554; (iii) the overall risk profile of ICT assets using those ICT systems and networks; (b) the documentation of all of the financial entity’s network connections and data flows; (c) the use of a separate and dedicated network for the administration of ICT assets; (d) the identification and implementation of network access controls to prevent and detect connections to the financial entity's network by any unauthorised device or system, or any endpoint not meeting the financial entity's security requirements; (e) the encryption of network connections passing over corporate networks, public networks, domestic networks, third-party networks, and wireless networks, for communication protocols used, taking into account the results of the approved data classification, the results of the ICT risk assessment and the encryption of network connections referred to in Article 6(2); (f) the design of networks in line with the ICT security requirements established by the financial entity, taking into account leading practices to ensure the confidentiality, integrity, and availability of the network; (g) the securing of network traffic between the internal networks and the internet and other external connections; EN 23 EN (h) the identification of the roles and responsibilities and steps for the specification, implementation, approval, change, and review of firewall rules and connections filters; (i) the performance of reviews of the network architecture and of the network security design once a year, and periodically for microenterprises, to identify potential vulnerabilities; (j) the measures to temporarily isolate, where necessary, subnetworks, and network components and devices; (k) the implementation of a secure configuration baseline of all network components, and the hardening of the network and of network devices in line with any vendor instructions, where applicable standards, as defined in Article 2, point (1), of Regulation (EU) No 1025/2012, and leading practices; (l) the procedures to limit, lock, and terminate system and remote sessions after a specified period of inactivity; (m) for network services agreements: (i) the identification and specification of ICT and information security measures, service levels, and management requirements of all network services; (ii) whether those services are provided by an ICT intra-group service provider or by ICT third-party service providers. For the purposes of point (h), financial entities shall perform the review of firewall rules and connections filters on a regular basis in accordance with the classification established in accordance with Article 8(1) of Regulation (EU) 2022/2554 and the overall risk profile of ICT systems involved. For ICT systems that support critical or important functions, financial entities shall verify the adequacy of the existing firewall rules and connection filters at least every 6 months.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 13?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 14,Securing information in transit,"As part of the safeguards to preserve the availability, authenticity, integrity and confidentiality of data, financial entities shall develop, document, and implement the policies, procedures, protocols, and tools to protect information in transit. Financial entities shall in particular ensure all of the following: (a) the availability, authenticity, integrity and confidentiality of data during network transmission, and the establishment of procedures to assess compliance with those requirements; (b) the prevention and detection of data leakages and the secure transfer of information between the financial entity and external parties; (c) that requirements on confidentiality or non-disclosure arrangements reflecting the financial entity’s needs for the protection of information for both the staff of the financial entity and of third parties are implemented, documented, and regularly reviewed. Financial entities shall design the policies, procedures, protocols, and tools to protect the information in transit referred to in paragraph 1 on the basis of the results of the approved data classification and of the ICT risk assessment.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 14?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 15,ICT project management,"As part of the safeguards to preserve the availability, authenticity, integrity, and confidentiality of data, financial entities shall develop, document, and implement an ICT project management policy. The ICT project management policy referred to in paragraph 1 shall specify the elements that ensure the effective management of the ICT projects related to the acquisition, maintenance and, where applicable, development of the financial entity’s ICT systems. The ICT project management policy referred to in paragraph 1 shall contain all of the following: (a) ICT project objectives; (b) ICT project governance, including roles and responsibilities; (c) ICT project planning, timeframe, and steps; (d) ICT project risk assessment; (e) relevant milestones; (f) change management requirements; (g) the testing of all requirements, including security requirements, and the respective approval process when deploying an ICT system in the production environment.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 15?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 16,"ICT systems acquisition, development, and maintenance","As part of the safeguards to preserve the availability, authenticity, integrity, and confidentiality of data, financial entities shall develop, document and implement a policy governing the acquisition, development, and maintenance of ICT systems. That policy shall: EN 25 EN (a) identify security practices and methodologies relating to the acquisition, development, and maintenance of ICT systems; (b) require the identification of: (i) technical specifications and ICT technical specifications, as defined in Article 2, points (4) and (5), of Regulation (EU) No 1025/2012; (ii) requirements relating to the acquisition, development, and maintenance of ICT systems, with a particular focus on ICT security requirements and on their approval by the relevant business function and ICT asset owner in accordance with the financial entity’s internal governance arrangements; (c) specify measures to mitigate the risk of unintentional alteration or intentional manipulation of the ICT systems during the development, maintenance, and deployment of those ICT systems in the production environment. Financial entities shall develop, document, and implement an ICT systems’ acquisition, development, and maintenance procedure for the testing and approval of all ICT systems prior to their use and after maintenance, in accordance with Article 8(2), point (b), points (v), (vi) and (vii).","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 16?",SIEM dashboards; Alerting procedures; Log retention policy; Sample audit logs,,
Article 17,ICT change management,"As part of the safeguards to preserve the availability, authenticity, integrity, and confidentiality of data, financial entities shall include in the ICT change management procedures referred to in Article 9(4), point (e), of Regulation (EU) 2022/2554, in respect of all changes to software, hardware, firmware components, systems, or security parameters, all of the following elements: (a) a verification of whether the ICT security requirements have been met; (b) mechanisms to ensure the independence of the functions that approve changes and the functions responsible for requesting and implementing those changes; (c) a clear description of the roles and responsibilities to ensure that: (i) changes are specified and planned; (ii) an adequate transition is designed; (iii) the changes are tested and finalised in a controlled manner; (iv) there is an effective quality assurance; (d) the documentation and communication of change details, including: (i) the purpose and scope of the change; (ii) the timeline for the implementation of the change; (iii) the expected outcomes; EN 27 EN (e) the identification of fall-back procedures and responsibilities, including procedures and responsibilities for aborting changes or recovering from changes not successfully implemented; (f) procedures, protocols, and tools to manage emergency changes that provide adequate safeguards; (g) procedures to document, re-evaluate, assess, and approve emergency changes after their implementation, including workarounds and patches; (h) the identification of the potential impact of a change on existing ICT security measures and an assessment of whether such change requires the adoption of additional ICT security measures. After having made significant changes to their ICT systems, central counterparties and central securities depositories shall submit their ICT systems to stringent testing by simulating stressed conditions. Central counterparties shall involve, as appropriate, in the design and conduct of the testing referred to in the first subparagraph: (a) clearing members and clients; (b) interoperable central counterparties; (c) other interested parties; Central securities depositories shall, as appropriate, involve in the design and conduct of the testing referred to in the first subparagraph: (a) users; (b) critical utilities and critical service providers; (c) other central securities depositories; (d) other market infrastructures; (e) any other institutions with which central securities depositories have identified interdependencies in their ICT business continuity policy.","Has the organization developed, documented, and implemented the policies and procedures described in Article 17?",Change Management Policy; Change tickets; CAB minutes; Deployment & rollback records,,
Article 18,Physical and environmental security,"As part of the safeguards to preserve the availability, authenticity, integrity, and confidentiality of data, financial entities shall specify, document, and implement a physical and environmental security policy. Financial entities shall design that policy i light of the cyber threat landscape, in accordance with the classification established in accordance with Article 8(1) of Regulation (EU) 2022/2554, and in light of the overall risk profile of ICT assets and accessible information assets. The physical and environmental security policy referred to in paragraph 1 shall contain all of the following: (a) a reference to the section of the policy on control of access management rights referred to in Article 21(1) point (g); (b) measures to protect from attacks, accidents, and environmental threats and hazards, the premises, data centres of the financial entity, and sensitive EN 28 EN designated areas identified by the financial entity, where ICT assets and information assets reside; (c) measures to secure ICT assets, both within and outside the premises of the financial entity, taking into account the results of the ICT risk assessment related to the relevant ICT assets; (d) measures to ensure the availability, authenticity, integrity, and confidentiality of ICT assets, information assets, and physical access control devices of the financial entity through the appropriate maintenance; (e) measures to preserve the availability, authenticity, integrity, and confidentiality of the data, including: (i) a clear desk policy for papers; (ii) a clear screen policy for information processing facilities.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 18?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 19,Human resources policy,"Financial entities shall include in their human resource policy or other relevant policies all of the following ICT security related elements: (a) the identification and assignment of any specific ICT security responsibilities; (b) requirements for staff of the financial entity and of the ICT third-party service providers using or accessing ICT assets of the financial entity to: (i) be informed about, and adhere to, the financial entity's ICT security policies, procedures, and protocols; (ii) be aware of the reporting channels put in place by the financial entity for the detection of anomalous behaviour, including, where applicable, the reporting channels established in line with Directive (EU) 2019/1937 of the European Parliament and of the Council10; (iii) for the staff, to return to the financial entity, upon termination of employment, all ICT assets and tangible information assets in their possession that belong to the financial entity.","Has the organization developed, documented, and implemented the policies and procedures described in Article 19?",ICT Security Policy; Procedures Handbook; Version history/change log; Approval records,,
Article 20,Identity management,"As part of their control of access management rights, financial entities shall develop, document, and implement identity management policies and procedures that ensure the unique identification and authentication of natural persons and systems accessing the financial entities’ information to enable assignment of user access rights in accordance with Article 21. The identity management policies and procedures referred to in paragraph 1 shall contain all of the following: (a) without prejudice to Article 21(1), point (c), a unique identity corresponding to a unique user account shall be assigned to each staff member of the financial entity or staff of the ICT third-party service providers accessing the information assets and ICT assets of the financial entity; (b) a lifecycle management process for identities and accounts managing the creation, change, review and update, temporary deactivation, and termination of all accounts. For the purposes of point (a), financial entities shall maintain records of all identity assignments.","Has the organization developed, documented, and implemented the policies and procedures described in Article 20?",Access Control Policy; User access reviews; Provisioning/deprovisioning logs; PAM records; MFA configuration,,
Article 21,Access control,"As part of their control of access management rights, financial entities shall develop, document, and implement a policy that contains all of the following: (a) the assignment of access rights to ICT assets based on need-to-know, need-to-use and least privilege principles, including for remote and emergency access; (b) the segregation of duties designed to prevent unjustified access to critical data or to prevent the allocation of combinations of access rights that may be used to circumvent controls; (c) a provision on user accountability, by limiting to the extent possible the use of generic and shared user accounts and ensuring that users are identifiable for the actions performed in the ICT systems at all times; (d) a provision on restrictions of access to ICT assets, setting out controls and tools to prevent unauthorised access; (e) account management procedures to grant, change or revoke access rights for user and generic accounts, including generic administrator accounts, including provision on all of the following: (i) assignment of roles and responsibilities for granting, reviewing, and revoking access rights; (ii) assignment of privileged, emergency, and administrator access on a need-to- use or an ad-hoc basis for all ICT systems; EN 30 EN (iii) withdrawal of access rights without undue delay upon termination of the employment or when the access is no longer necessary; (iv) update of access rights where changes are necessary and at least once a year for all ICT systems, other than ICT systems supporting critical or important functions and at least every 6 months for ICT systems supporting critical or important functions. (f) authentication methods, including all of the following: (i) the use of authentication methods commensurate to the classification established in accordance with Article 8(1) of Regulation (EU) 2022/2554 and to the overall risk profile of ICT assets and considering leading practices; (ii) the use of strong authentication methods in accordance with leading practices and techniques for remote access to the financial entity's network, for privileged access, for access to ICT assets supporting critical or important functions or ICT assets that are publicly accessible; (g) physical access controls measures including: (i) the identification and logging of natural persons that are authorised to access premises, data centres, and sensitive designated areas identified by the financial entity where ICT and information assets reside; (ii) the granting of physical access rights to critical ICT assets to authorised persons only, in accordance with the need-to-know and least privilege principles, and on an ad-hoc basis; (iii) the monitoring of physical access to premises, data centres, and sensitive designated areas identified by the financial entity where ICT and information assets or both reside; (iv) the review of physical access rights to ensure that unnecessary access rights are promptly revoked. For the purposes of point (e)(i), financial entities shall establish the retention period taking into account the business and information security objectives, the reasons for recording the event in the logs, and the results of the ICT risk assessment.","Has the organization implemented policies and processes to assess, manage, and monitor ICT risks as required in Article 21?",ICT Risk Management Framework; Risk Register; Periodic Risk Assessment Reports; Board minutes approving risk appetite,,
Article 22,ICT-related incident management policy,"As part of the mechanisms to detect anomalous activities, including ICT network performance issues and ICT-related incidents, financial entities shall develop, document, and implement an ICT-related incident policy through which they shall: (a) document the ICT-related incident management process referred to in Article 17 of Regulation (EU) 2022/2554; (b) establish a list of relevant contacts with internal functions and external stakeholders that are directly involved in ICT operations security, including on: (i) the detection and monitoring of cyber threats; (ii) the detection of anomalous activities; (iii) vulnerability management; (c) establish, implement, and operate technical, organisational, and operational mechanisms to support the ICT-related incident management process, including mechanisms to enable a prompt detection of anomalous activities and behaviours in accordance with Article 23 of this Regulation; (d) retain all evidence relating to ICT-related incidents for a period that shall be no longer than necessary for the purposes for which the data are collected, commensurate with the criticality of the affected business functions, supporting processes, and ICT and information assets, in accordance with [Article [15] of Commission Delegated Regulation (EU) […]/[…] [Commission Delegated Regulation on classification of ICT- related incidents]11 and with any applicable retention requirement pursuant to Union law; (e) establish and implement mechanisms to analyse significant or recurring ICT-related incidents and patterns in the number and the occurrence of ICT-related incidents. For the purposes of point (d), financial entities shall retain the evidence referred to in that point in a secure manner.","Has the organization developed, documented, and implemented the policies and procedures described in Article 22?",Incident Management Policy; Incident/Breach Register; RCA reports; Notification records,,
Article 23,Anomalous activities detection and criteria for ICT-related incidents detection and response,"Financial entities shall set clear roles and responsibilities to effectively detect and respond to ICT-related incidents and anomalous activities. The mechanism to promptly detect anomalous activities, including ICT network performance issues and ICT-related incidents, as referred to in Article 10(1) of Regulation (EU) 2022/2554, shall enable financial entities to: (a) collect, monitor, and analyse all of the following: 11 (OP: Please insert [reference and title to this CDR]) EN 32 EN (i) internal and external factors, including at least the logs collected in accordance with Article 12 of this Regulation, information from business and ICT functions, and any problem reported by users of the financial entity; (ii) potential internal and external cyber threats, considering scenarios commonly used by threat actors and scenarios based on threat intelligence activity; (iii) ICT-related incident notification from an ICT third-party service provider of the financial entity detected in the ICT systems and networks of the ICT third-party service provider and that may affect the financial entity; (b) identify anomalous activities and behaviour, and implement tools generating alerts for anomalous activities and behaviour, at least for ICT assets and information assets supporting critical or important functions; (c) prioritise the alerts referred to in point (b) to allow for the management of the detected ICT-related incidents within the expected resolution time, as specified by financial entities, both during and outside working hours; (d) record, analyse, and evaluate any relevant information on all anomalous activities and behaviours automatically or manually. For the purposes of point (b), the tools referred to in that point shall contain the tools that provide automated alerts based on pre-defined rules to identify anomalies affecting the completeness and integrity of the data sources or log collection.","Does the organization regularly monitor, review, and update practices as required in Article 23?",Incident Management Policy; Incident/Breach Register; RCA reports; Notification records,,
