Clause,Requirement,Description,Reference,Validation Criteria (What to Check),Initial Assessment Points,Evidence/Artifact,Findings,Status
Privacy Protection,Data Minimization,"Do not collect or store unnecessary or personally identifiable user input data. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 11,Ensure only necessary user data is collected and retained; audit anonymization and deletion processes.,"1. Ensure only necessary user data is collected?
2. Retained?
3. Audit anonymization?
4. Deletion processes.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Transparency,Content Labeling,"Generated content must be labeled in accordance with deep synthesis regulations. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 12,"Check that AI-generated content is clearly marked according to regulatory standards (e.g., watermarks, tags).","1. Check that AI-generated content is clearly marked according to regulatory standards (e.g., watermarks, tags).?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Service Continuity,Stable and Secure Services,"Providers must ensure uninterrupted, secure service delivery to users. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 13,"Evaluate service stability, availability, and fault-tolerance mechanisms to ensure continuous and secure access.","1. Evaluate service stability, avAIlability,?
2. Fault-tolerance mechanisms to ensure continuous?
3. Secure access.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Content Control,Illegal Use Detection,"Must detect/remove illegal content and report violations to authorities. Take action against misuse. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 14,"Review mechanisms for identifying, blocking, and reporting illegal content; ensure moderation workflows are documented.","1. Review mechanisms for identifying, blocking,?
2. Reporting illegal content?
3. Ensure moderation workflows are documented.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Complaint Mechanism,User Redressal System,"Enable easy reporting, publish process and timelines for complaint resolution. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 15,"Assess public complaint handling channels, including accessibility, response logs, and time-to-resolution standards.","1. Assess public complAInt handling channels, including accessibility, response logs,?
2. Time-to-resolution standards.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Oversight,Security Assessments,"Systems with public mobilization potential must pass security reviews and algorithm filing. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 17,"Verify security assessments have been submitted for systems with societal mobilization potential, and that algorithm filings are current.","1. Verify security assessments have been submitted for systems with societal mobilization potential,?
2. That algorithm filings are current.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Oversight,Inspection Cooperation,"Providers must disclose algorithm design, training data sources/types during inspections. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 19,"Ensure documentation is available for algorithm mechanisms, data sources, model training, and is shared with regulators upon request.","1. Ensure documentation is available for algorithm mechanisms, data sources, model trtraining,?
2. Is shared with regulators upon request.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Cross-border Services,Foreign AI Regulation,"Non-compliant foreign services can be blocked or restricted by state cyber agencies. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 20,Check that foreign-hosted AI services are compliant or restricted appropriately per CAC guidelines.,1. Check that foreign-hosted AI services are compliant or restricted appropriately per cac guidelines.?,AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Penalties,Legal Sanctions,"Includes warnings, suspensions, administrative fines, or criminal charges for violations. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 21,Review enforcement records for past regulatory breaches and confirm remediation or corrective actions have been executed.,"1. Review enforcement records for past regulatory breaches?
2. Confirm remediation or corrective actions have been executed.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
Special Provisions,Licensing & Investment,"Some services may require licenses. Foreign investment must meet legal thresholds. This obligation is part of China’s Generative AI Measures, the country’s new regulatory framework governing generative artificial intelligence (AI). It emphasizes compliance, ethical use, transparency, and protection of user rights in line with state-mandated governance principles.",Article 23,"Verify business licenses, FDI compliance, and that foreign investment laws are followed in AI service provision.","1. Verify business licenses, FDI compliance,?
2. That foreign investment laws are followed in AI service provision.?",AI Governance Policy/Charter; Oversight Committee minutes; RACI matrix; Risk appetite & accountability docs; Annual governance plan,,
