Clause,Reference,Description,Initial Assessment Points,Findings,Status,Evidence/Artifact
Art. 3(1),"Regulation (EU) 2016/679, Art. 3(1)","Applies to processing in context of activities of an EU establishment, regardless of where processing occurs.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Are all EU establishments and linked processing identified?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 3(2)(a),"Regulation (EU) 2016/679, Art. 3(2)(a)","Applies to non‑EU controllers/processors offering goods/services to individuals in EU.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Do non‑EU offerings target EU residents? Are GDPR notices/mechanisms applied?,,,"Data Processing Agreements (DPAs), Vendor due diligence reports"
Art. 3(2)(b),"Regulation (EU) 2016/679, Art. 3(2)(b)","Applies to non‑EU monitoring of behaviour within the EU.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.","Is behaviour monitoring (profiling, tracking) aimed at persons in the EU?",,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 3(3),"Regulation (EU) 2016/679, Art. 3(3)","Applies where Member State law applies by virtue of public international law.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Do processing activities occur under Member State law via public international law?,,,"General GDPR compliance evidence (policies, procedures, logs, reports)"
Art. 4(1),"Regulation (EU) 2016/679, Art.","Personal data — relating to identified or identifiable natural person.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is the definition embedded in policies and training?,,,"Training materials, Training records, Awareness campaign evidence"
Art. 4(2),"Regulation (EU) 2016/679, Art.","Processing — any operation performed on personal data.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is the definition embedded in policies and training?,,,"Training materials, Training records, Awareness campaign evidence"
Art. 4(4),"Regulation (EU) 2016/679, Art.","Profiling — automated processing to evaluate personal aspects.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is the definition embedded in policies and training?,,,"Training materials, Training records, Awareness campaign evidence"
Art. 4(5),"Regulation (EU) 2016/679, Art.","Pseudonymisation — processing so data cannot be attributed without additional information.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is the definition embedded in policies and training?,,,"Training materials, Training records, Awareness campaign evidence"
Art. 4(7),"Regulation (EU) 2016/679, Art.","Controller — entity that determines purposes and means.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is the definition embedded in policies and training?,,,"Records of Processing Activities (RoPA), Purpose limitation policy"
Art. 4(8),"Regulation (EU) 2016/679, Art.","Processor — entity processing on behalf of controller.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is the definition embedded in policies and training?,,,"Data Processing Agreements (DPAs), Vendor due diligence reports"
Art. 4(11),"Regulation (EU) 2016/679, Art.","Consent — freely given, specific, informed and unambiguous indication.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is the definition embedded in policies and training?,,,"Privacy Policy, Consent forms, Data Protection Policy"
Art. 4(12),"Regulation (EU) 2016/679, Art.","Personal data breach — security breach leading to destruction, loss, alteration, disclosure or access.. In practice, this means the organisation must implement clear processes to meet this obligation and be able to demonstrate compliance. Auditors will expect to see documented policies, evidence of implementation, and monitoring to ensure the requirement is met.",Is the definition embedded in policies and training?,,,"Information Security Policy, Access control logs, Encryption documentation"
