Reference,Description,Initial Assessment Points,Evidence/Artifact,Clause,Findings,Status
AIS-05.2,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while enabling organizational speed of delivery goals. Automate when applicable and possible.","1. Is testing automated when applicable and possible?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-06.1,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible.","1. Are strategies and capabilities established and implemented to deploy application code in a secure, standardized, and compliant manner?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-06.2,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible.","1. Is the deployment and integration of application code automated where possible?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-07.1,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible.","1. Are application security vulnerabilities remediated following defined processes?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
AIS-07.2,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible.","1. Is the remediation of application security vulnerabilities automated when possible?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Application security policy and SDL/SDLC standards; Secure coding guidelines and training records; SAST/DAST results and code review logs; Penetration testing reports for applications; Change management records (dev/test/prod); Relevant policy/standard document with version history,"Application &
Interface Security",,
BCR-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain business continuity management and operational resilience policies and procedures. Review and update the policies and procedures at least annually.","1. Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain business continuity management and operational resilience policies and procedures. Review and update the policies and procedures at least annually.","1. Are the policies and procedures reviewed and updated at least annually?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-02.1,Determine the impact of business disruptions and risks to establish criteria for developing business continuity and operational resilience strategies and capabilities.,"1. Are criteria for developing business continuity and operational resiliency strategies and capabilities established based on business disruption and risk impacts?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; Risk assessment report and treatment plan; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-03.1,"Establish strategies to reduce the impact of, withstand, and recover from business disruptions within risk appetite.","1. Are strategies developed to reduce the impact of, withstand, and recover from business disruptions in accordance with risk appetite?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; Risk assessment report and treatment plan; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-04.1,"Establish, document, approve, communicate, apply, evaluate and maintain a business continuity plan based on the results of the operational resilience strategies and capabilities. 13 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are operational resilience strategies and capability results incorporated to establish, document, approve, communicate, apply, evaluate, and maintain a business continuity plan?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-05.1,"Develop, identify, and acquire documentation that is relevant to support the business continuity and operational resilience programs. Make the documentation available to authorized stakeholders and review periodically.","1. Is relevant documentation developed, identified, and acquired to support business continuity and operational resilience plans?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-05.2,"Develop, identify, and acquire documentation that is relevant to support the business continuity and operational resilience programs. Make the documentation available to authorized stakeholders and review periodically.","1. Is business continuity and operational resilience documentation available to authorized stakeholders?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-05.3,"Develop, identify, and acquire documentation that is relevant to support the business continuity and operational resilience programs. Make the documentation available to authorized stakeholders and review periodically.","1. Is business continuity and operational resilience documentation reviewed periodically?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-06.1,Exercise and test business continuity and operational resilience plans at least annually or upon significant changes.,"1. Are the business continuity and operational resilience plans exercised and tested at least annually and when significant changes occur?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-07.1,Establish communication with stakeholders and participants in the course of business continuity and resilience procedures.,"1. Do business continuity and resilience procedures establish communication with stakeholders and participants?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-08.1,"Periodically backup data stored in the cloud. Ensure the confidentiality, integrity and availability of the backup, and verify data restoration from backup for resiliency.","1. Is cloud data periodically backed up?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-08.2,"Periodically backup data stored in the cloud. Ensure the confidentiality, integrity and availability of the backup, and verify data restoration from backup for resiliency.","1. Is the confidentiality, integrity, and availability of backup data ensured?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-08.3,"Periodically backup data stored in the cloud. Ensure the confidentiality, integrity and availability of the backup, and verify data restoration from backup for resiliency.","1. Can backups be restored appropriately for resiliency?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-09.1,"Establish, document, approve, communicate, apply, evaluate and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually or upon significant changes.","1. Is a disaster response plan established, documented, approved, applied, evaluated, and maintained to ensure recovery from natural and man-made disasters?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-09.2,"Establish, document, approve, communicate, apply, evaluate and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually or upon significant changes.","1. Is the disaster response plan updated at least annually, and when significant changes occur?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-10.1,"Exercise the disaster response plan annually or upon significant changes, including if possible local emergency authorities.","1. Is the disaster response plan exercised annually or when significant changes occur?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-10.2,"Exercise the disaster response plan annually or upon significant changes, including if possible local emergency authorities.","1. Are local emergency authorities included, if possible, in the exercise?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
BCR-11.1,Supplement business-critical equipment with redundant equipment independently located at a reasonable minimum distance in accordance with applicable industry standards.,"1. Is business-critical equipment supplemented with redundant equipment independently located at a reasonable minimum distance in accordance with applicable industry standards?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.","Relevant policy/standard document with version history; BCP/DR plans, backup logs, and restore/test results","Business
Continuity Mgmt
& Op Resilience",,
CCC-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for managing the risks associated with applying changes to organization assets, including application, systems, infrastructure, configuration, etc., regardless of whether the assets are managed internally or externally (i.e., outsourced). Review and update the policies and procedures at least annually.","1. Are risk management policies and procedures associated with changing organizational assets including applications, systems, infrastructure, configuration, etc., established, documented, approved, communicated, applied, evaluated and maintained (regardless of whether asset management is internal or external)?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Change Control &
Configuration
Management",,
CCC-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for managing the risks associated with applying changes to organization assets, including application, systems, infrastructure, configuration, etc., regardless of whether the assets are managed internally or externally (i.e., outsourced). Review and update the policies and procedures at least annually.","1. Are the policies and procedures reviewed and updated at least annually?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Change Control &
Configuration
Management",,
CCC-02.1,"Follow a defined quality change control, approval and testing process with established baselines, testing, and release standards.","1. Is a defined quality change control, approval and testing process (with established baselines, testing, and release standards) followed?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history,"Change Control &
Configuration
Management",,
CCC-03.1,"Manage the risks associated with applying changes to organization assets, including application, systems, infrastructure, configuration, etc., regardless of whether the assets are managed internally or externally (i.e., outsourced).","1. Are risks associated with changing organizational assets (including applications, systems, infrastructure, configuration, etc.) managed, regardless of whether asset management occurs internally or externally (i.e., outsourced)?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Change Control &
Configuration
Management",,
CCC-04.1,"Restrict the unauthorized addition, removal, update, and management of organization assets.","1. Is the unauthorized addition, removal, update, and management of organization assets restricted?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history,"Change Control &
Configuration
Management",,
CCC-05.1,Include provisions limiting changes directly impacting CSCs owned environments/tenants to explicitly authorized requests within service level agreements between CSPs and CSCs.,"1. Are provisions to limit changes that directly impact CSC-owned environments and require tenants to authorize requests explicitly included within the service level agreements (SLAs) between CSPs and CSCs?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history,"Change Control &
Configuration
Management",,
CCC-06.1,Establish change management baselines for all relevant authorized changes on organization assets.,"1. Are change management baselines established for all relevant authorized changes on organizational assets?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history,"Change Control &
Configuration
Management",,
CCC-07.1,Implement detection measures with proactive notification in case of changes deviating from the established baseline.,"1. Are detection measures implemented with proactive notification if changes deviate from established baselines?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history,"Change Control &
Configuration
Management",,
CCC-08.1,"Implement a procedure for the management of exceptions, including emergencies, in the change and configuration process. Align the procedure with the requirements of GRC-04: Policy Exception Process.","1. Is a procedure implemented to manage exceptions, including emergencies, in the change and configuration process?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history,"Change Control &
Configuration
Management",,
CCC-08.2,"Implement a procedure for the management of exceptions, including emergencies, in the change and configuration process. Align the procedure with the requirements of GRC-04: Policy Exception Process.","1. 'Is the procedure aligned with the requirements of the GRC-04: Policy Exception Process?'
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history,"Change Control &
Configuration
Management",,
CCC-09.1,Define and implement a process to proactively roll back changes to a previously known good state in case of errors or security concerns.,"1. Is a process to proactively roll back changes to a previously known ""good state"" defined and implemented in case of errors or security concerns?
2. Verify policy and standard coverage, approvals, and review cadence for this control area.
3. Confirm defined roles/responsibilities and evidence of implementation via documents, observation, and interviews.
4. Check metrics/monitoring and effectiveness reviews; verify corrective actions are tracked to closure.",Relevant policy/standard document with version history,"Change Control &
Configuration
Management",,
CEK-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Cryptography, Encryption and Key Management. Review and update the policies and procedures at least annually.","1. Are cryptography, encryption, and key management policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify key management policy defines roles, responsibilities, key lifecycle (generation, distribution, rotation, storage, recovery, revocation, destruction).
3. Confirm keys are generated using approved entropy sources and protected by HSM or equivalent controls where applicable.
4. Check key access controls (least privilege, M-of-N for critical operations) and separation of duties.
5. Verify rotation schedules, cryptoperiods, and algorithm/strength meet current standards; evidence of timely rotation exists.
6. Review procedures for key escrow, backup, and recovery; test recovery where feasible.","Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records; BCP/DR plans, backup logs, and restore/test results","Cryptography,
Encryption, and Key
Management",,
