Reference,Clause,Description,Initial Assessment Points,Evidence/Artifact,Status
A.6.1.2,Segregation of duties (clinical),"Separate conflicting duties (e.g., prescribing vs. dispensing overrides; admin vs. audit) and implement compensating controls where strict separation is impractical. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are high-risk clinical/IT tasks identified with enforced SoD? 2. Where SoD is constrained, are approvals, monitoring, or dual-control in place? 3. Are SoD violations detected via logs/analytics with timely review?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
A.6.1.3,Contact with authorities (health regulators),"Maintain contact with health/privacy regulators and report notifiable incidents per jurisdictional timelines. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are contact details and notification timelines current for all jurisdictions? 2. Are playbooks aligned to regulator expectations for PHI breaches? 3. Is evidence of timely notifications retained?,"Incident Response Plan, Incident Logs, Regulator Notifications; Contact Directory of Regulators, Communication Logs",
A.6.1.4,Contact with special interest groups (health sector),"Engage with health ISACs, professional bodies, and vendor advisories to obtain threat and vulnerability intelligence affecting clinical systems/devices. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are subscriptions in place to health ISACs and vendor alerts? 2. Are advisories triaged and actioned (patches, compensating controls)? 3. Is intelligence fed into risk and change processes?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Vendor Risk Assessment Reports, Data Sharing Agreements",
A.6.1.5,Information security in project management (clinical),"Embed security requirements (PHI, safety, device integration) in clinical project lifecycles and procurement. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Do business cases include PHI risk, logging, downtime, and recovery needs? 2. Are security and privacy requirements in RFP/contracts for EHR/modules/devices? 3. Are go-live checklists inclusive of access, audit, and backup/recovery validation?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Access Control Matrix, SOPs, Audit Logs",
A.6.2.1,Mobile device policy (clinical),"Define controls for clinical mobile devices (enrollment, encryption, camera use, app restrictions) and BYOD constraints where PHI is accessed. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are clinical devices enrolled in MDM with encryption and remote wipe? 2. Are camera/recording and screenshot restrictions defined for PHI? 3. Is BYOD prohibited or controlled with containerization/DLP?,"Access Control Matrix, SOPs, Audit Logs; Encryption Procedures, Key Management Records",
A.6.2.2,Teleworking (clinical),"Secure remote clinical access with MFA, hardened endpoints, restricted local storage, and private spaces to maintain confidentiality. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is MFA enforced for remote access to PHI? 2. Are teleworkers prevented from storing PHI locally and using unsecured printers? 3. Are privacy safeguards defined for remote consultations?,"Access Control Matrix, SOPs, Audit Logs",
A.7.1.1,Screening (clinical workforce),"Conduct background checks proportional to role risk, considering access to PHI, critical systems, and controlled substances. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are screening levels risk-based for clinicians, contractors, volunteers? 2. Are checks compliant with law and updated for role changes? 3. Is access deferred until screening is satisfactorily completed?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Access Control Matrix, SOPs, Audit Logs",
A.7.1.2,Terms and conditions of employment (PHI obligations),"Contracts include confidentiality, acceptable use, PHI handling, incident reporting, and sanctions; cover students and agency staff. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Do contracts/SOWs include PHI confidentiality and breach reporting clauses? 2. Are obligations acknowledged before access is granted? 3. Are third-party and student placements bound by equivalent terms?,"Incident Response Plan, Incident Logs, Regulator Notifications; Access Control Matrix, SOPs, Audit Logs",
A.7.2.1,Management responsibilities (during employment),"Managers ensure staff understand and comply with PHI safeguards; monitor for policy violations and address promptly. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are managers accountable for staff access reviews and policy adherence? 2. Are violations escalated and documented with corrective actions? 3. Are duties rotated or supervised for high-risk activities?,"Information Security Policy, Privacy Policy, Health IS Charter; Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Access Control Matrix, SOPs, Audit Logs",
A.7.2.2,"Information security awareness, education and training (clinical)","Deliver role-based training for clinicians and staff covering PHI, EHR etiquette, break-glass, snooping, secure messaging, and device usage. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is onboarding and periodic training role-based with completion tracked? 2. Are phishing/secure messaging and device hygiene included? 3. Are scenarios tailored to clinical workflows and incidents?,"Incident Response Plan, Incident Logs, Regulator Notifications",
A.7.2.3,Disciplinary process (PHI violations),"Define and apply a fair process for PHI misuse (snooping, misdirected disclosures) with documented sanctions and learning actions. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is there a documented, consistently applied disciplinary process? 2. Are snooping and inappropriate access investigated and sanctioned? 3. Are lessons learned fed back into training and controls?","Access Control Matrix, SOPs, Audit Logs",
A.7.3.1,Termination or change of employment responsibilities,"Promptly revoke/adjust access upon termination or role change; collect assets; reinforce confidentiality obligations. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are JML processes timely for clinicians and rotating staff? 2. Are shared credentials eliminated and access promptly revoked? 3. Are confidentiality obligations reaffirmed at exit?,"Access Control Matrix, SOPs, Audit Logs; Asset Register, Backup & Recovery Plans, Patch Records",
A.8.1.1,Inventory of assets (clinical & PHI assets),"Maintain an accurate, owner-assigned inventory of information assets including EHR/PACS/LIS components, endpoints used in care delivery, medical devices, interfaces (HL7/FHIR/DICOM), and cloud/HIE services handling PHI. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is a CMDB/inventory maintained for clinical apps, databases, devices, and integrations? 2. Are data flows for PHI documented (systems, interfaces, cloud/HIE)? 3. Are owners assigned with responsibility for security and lifecycle?","Asset Register, Backup & Recovery Plans, Patch Records",
A.8.1.2,Ownership of assets,"Assign accountable owners for each asset category (applications, datasets, devices, interfaces) to approve access, classify PHI, and manage risk/treatment actions. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is each PHI-bearing asset mapped to an owner (clinical/IT)? 2. Do owners approve access and classification decisions? 3. Are owner changes tracked for service transitions?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Access Control Matrix, SOPs, Audit Logs; Asset Register, Backup & Recovery Plans, Patch Records",
A.8.1.3,Acceptable use of assets (clinical),"Define acceptable use covering clinical context: recording, screenshots, messaging, remote access, removable media, and personal device restrictions when PHI is involved. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are rules for photos/screenshots of PHI documented and enforced? 2. Are secure messaging and printing controls defined for clinical areas? 3. Is staff trained and attestations captured?,"Access Control Matrix, SOPs, Audit Logs",
A.8.1.4,Return of assets,"Ensure prompt return of devices, badges, tokens, and media on termination/role change; sanitize devices that may contain PHI. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Does JML include collection of all PHI-capable assets? 2. Is evidence retained for returned/sanitized devices? 3. Are cloud and shared folder accesses revoked?,"Access Control Matrix, SOPs, Audit Logs; Asset Register, Backup & Recovery Plans, Patch Records",
A.8.2.1,Classification of information (PHI/ePHI),"Classify PHI/ePHI with heightened protection; distinguish clinical research, de-identified, and limited datasets; align handling procedures accordingly. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is PHI classification defined and applied across EHR, data extracts, and analytics? 2. Are research/limited datasets classified with handling rules? 3. Are labels integrated with DLP and access controls?","Access Control Matrix, SOPs, Audit Logs",
A.8.2.2,Labelling of information (clinical data),"Ensure labels persist from source systems through reports, images, exports, and backups; align with retention and sharing rules. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Do labels persist across EHR reports, PACS images, and exports? 2. Are labels visible/enforced in data lakes and BI tools? 3. Are backups/test data labelled as PHI?",,
A.8.2.3,Handling of assets (PHI handling rules),"Define and enforce handling rules for PHI at rest/in transit/in use, including masking, minimum necessary, and secure sharing with HIEs and partners. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are ‘minimum necessary’ and masking rules implemented? 2. Are secure transfer and sharing procedures defined (HIE, registries)? 3. Are handling rules embedded in SOPs and technical controls?",,
A.8.3.1,Management of removable media (clinical),"Restrict or prohibit use of removable media for PHI; if permitted, encrypt and track custody; use secure alternatives. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is removable media use for PHI disabled by default? 2. If allowed, is media encrypted, logged, and approved? 3. Are secure transfer channels provided as alternatives?",,
A.8.3.2,Disposal of media,"Sanitize or destroy media containing PHI using approved methods; maintain certificates of destruction and chain-of-custody. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are media sanitized/destroyed per policy with verification records? 2. Is chain-of-custody tracked including third parties? 3. Are device recalls/returns handled with PHI sanitization?,"Information Security Policy, Privacy Policy, Health IS Charter",
A.8.3.3,Physical media transfer,"Minimize physical transfer of PHI; when unavoidable, protect with tamper-evident packaging, encryption, and tracking. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is physical media transfer rare and risk-assessed? 2. Is encryption applied and tracking documented? 3. Are recipients verified and receipt confirmed?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Encryption Procedures, Key Management Records",
A.9.1.1,Access control policy (clinical),"Define an access control policy reflecting clinical roles, least privilege, break‑glass, emergency access, and segregation between patient care, research, and admin functions. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are access control principles documented for clinical contexts? 2. Are break‑glass and emergency access governed with oversight? 3. Are research vs. care access paths segregated?,"Information Security Policy, Privacy Policy, Health IS Charter; RACI Matrix, Roles & Responsibilities Document; Access Control Matrix, SOPs, Audit Logs",
A.9.1.2,Access to networks and network services,"Restrict access to clinical networks/services based on role and context; authenticate wireless clinical networks; protect guest networks. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are VLANs and NAC policies applied to clinical endpoints/devices? 2. Are clinical Wi‑Fi networks authenticated and isolated from guest? 3. Are network service ACLs aligned to least privilege?,"Access Control Matrix, SOPs, Audit Logs",
A.9.2.1,User registration and de‑registration,"Formalize clinician/staff onboarding and de‑registration to prevent orphaned accounts across EHR, PACS, LIS, VPN, and cloud services. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are identities provisioned via authoritative HR/roster feeds? 2. Are accounts promptly disabled on termination? 3. Are shared/functional accounts strictly controlled?,,
A.9.2.2,User access provisioning,"Provision access based on clinical roles and duties; implement approval workflows with traceability; automate via RBAC where possible. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are roles mapped to clinical duties with standard access bundles? 2. Are approvals/workflows recorded and auditable? 3. Is RBAC implemented for EHR and ancillary systems?,"RACI Matrix, Roles & Responsibilities Document; Access Control Matrix, SOPs, Audit Logs",
A.9.2.3,Management of privileged access rights,"Grant privileged rights only to authorized admins/clinicians for defined tasks; use just‑in‑time elevation and session monitoring. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are privileged roles defined with approvals and time‑bound elevation? 2. Are admin sessions monitored/recorded for critical systems? 3. Are dual‑control or peer review mechanisms used?,"RACI Matrix, Roles & Responsibilities Document",
A.9.2.4,Management of secret authentication information,"Protect credentials for clinical users/admins and application/service accounts; enforce strong secrets and secure storage/rotation. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are password/MFA policies enforced for all user types? 2. Are app/service credentials vaulted with rotation? 3. Are shared secrets eliminated or tightly controlled?,,
