Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Ch. IV – Right of Access & Data Portability,Ch. IV.2,"Provide access to Personal Data and, where applicable, data portability in a commonly used, machine-readable format as prescribed.","1. Are DSAR portals and identity verification procedures implemented?
2. Can exports be produced in required formats within SLA?","Record of Processing Activities (systems, data categories, locations); Evidence of targeting Thai residents (web analytics/geotargeting); Thai representative appointment letter/contract (if applicable); Legal memo confirming PDPA applicability; DSR register with SLAs; Copies of responses and identity verification steps; Execution evidence (rectification/erasure/portability package)",,
Ch. IV – Right to Rectification,Ch. IV.3,Enable correction of inaccurate or incomplete Personal Data.,"1. Show correction workflow, evidence of recent rectifications, and propagation to downstream systems.",DSR register with SLAs; Copies of responses and identity verification steps; Execution evidence (rectification/erasure/portability package),,
Ch. IV – Right to Erasure/Restriction/Objection,Ch. IV.4,"Erase, restrict, or cease processing upon valid requests (subject to legal exceptions) and record decisions/reasons.","1. Are criteria, SLAs, and approval paths defined for erasure/restriction/objection?
2. Are outcomes communicated with reasons when denied?","Retention schedule/policy by category; System enforcement evidence (job configs, DB policies); Deletion/anonymization logs; Legal hold/exception records; DSR register with SLAs; Copies of responses and identity verification steps; Execution evidence (rectification/erasure/portability package)",,
Ch. IV – Right to Lodge Complaints,Ch. IV.5,Provide channels for complaints to the Controller and to the PDPC; track and respond within prescribed timelines.,"1. Are complaint channels publicized and tracked?
2. Evidence of timely responses and escalations?",DSR register with SLAs; Copies of responses and identity verification steps; Execution evidence (rectification/erasure/portability package),,
Ch. V – Security Measures,Ch. V.1,"Implement appropriate technical and organizational measures to protect against loss, unauthorized or unlawful access, use, alteration, or disclosure; review regularly and align with PDPC guidance.","1. Provide ISMS artifacts (policies, risk assessments, asset/registers).
2. Are access controls, encryption, and monitoring proportionate to risks?
3. Are periodic reviews and tests performed?","Disclosure register/log (recipient, purpose, basis); Approval workflow/records for disclosures; Onward transfer contractual clauses; DSR register with SLAs; Copies of responses and identity verification steps; Execution evidence (rectification/erasure/portability package); Information security policies and standards; Access control reviews and logs; Encryption key management evidence; Incident response plan and report samples",,
Ch. V – Breach Management & Notification,Ch. V.2,"Assess incidents and notify the regulator and, where risk to individuals is high, affected data subjects in the manner and timeframe prescribed by PDPC; keep incident records.","1. Does the incident playbook define thresholds, timelines, and roles?
2. Provide evidence of breach assessments and any notifications sent.
3. Are processor-to-controller notification clauses enforced?",Information security policies and standards; Access control reviews and logs; Encryption key management evidence; Incident response plan and report samples; Breach response playbook; Breach notification decision logs; Sample regulator/individual notifications; Signed Data Processing Agreements (DPAs); Processor due‑diligence/vendor risk assessments; Sub‑processor inventory and flow‑down clauses,,
Ch. V – Records & Accountability,Ch. V.3,"Maintain records of processing, consents, notices, disclosures, cross-border transfers, and rights handling to demonstrate compliance (accountability principle).","1. Show your RoPA/processing inventory and consent/disclosure logs.
2. Are audits and management reviews performed and minuted?","Consent collection forms/UI screenshots; Consent logs with timestamps and scope; Parental/guardian consent for minors; Privacy notice copies/screenshots at collection points; Version history and change log; Notice delivery evidence (web/app/email/offline); Disclosure register/log (recipient, purpose, basis); Approval workflow/records for disclosures; Onward transfer contractual clauses; List of transfer countries and systems; Transfer Impact Assessment (TIA); Cross‑border contract clauses / PDPC approvals; DPO appointment letter and responsibilities; PDPA training records and attendance; Compliance reports/board minutes on PDPA",,
Ch. V – Data Protection Officer (where required),Ch. V.4,"Appoint a DPO where prescribed (e.g., certain public authorities or activities involving regular monitoring or large-scale sensitive data processing per PDPC notifications). Ensure independence and expertise.","1. Is a DPO appointed or exemption documented?
2. Provide DPO charter, reporting line, and training records.
3. Is DPO involved in DPIA/high-risk change reviews?",Data classification register with sensitive tags; Consent records for sensitive data; Exception approvals / risk assessments; DPO appointment letter and responsibilities; PDPA training records and attendance; Compliance reports/board minutes on PDPA; Breach response playbook; Breach notification decision logs; Sample regulator/individual notifications,,
Ch. V – Processor Management,Ch. V.5,"When using a Processor, bind via contract to act only on instructions, implement security, assist with rights/incident handling, return/delete data at end, and enable audits.","1. Review processor contracts for PDPA-mandated clauses.
2. Are onboarding due diligence and ongoing monitoring in place?
3. Evidence of data return/deletion at contract end?","Retention schedule/policy by category; System enforcement evidence (job configs, DB policies); Deletion/anonymization logs; Legal hold/exception records; Information security policies and standards; Access control reviews and logs; Encryption key management evidence; Incident response plan and report samples; Signed Data Processing Agreements (DPAs); Processor due‑diligence/vendor risk assessments; Sub‑processor inventory and flow‑down clauses",,
Ch. VI – Processor Duties,Ch. VI,"Processor must implement security, process only on controller instructions, keep confidentiality, notify controller of incidents, assist with compliance, and maintain relevant records as required.","1. Does the processor have documented policies and training?
2. Evidence of timely controller notifications and assistance with DSARs/breaches?",Information security policies and standards; Access control reviews and logs; Encryption key management evidence; Incident response plan and report samples; DPO appointment letter and responsibilities; PDPA training records and attendance; Compliance reports/board minutes on PDPA; Breach response playbook; Breach notification decision logs; Sample regulator/individual notifications; Signed Data Processing Agreements (DPAs); Processor due‑diligence/vendor risk assessments; Sub‑processor inventory and flow‑down clauses,,
Ch. VII – Cross‑Border Transfers,Ch. VII,"Transfer Personal Data outside Thailand only where the destination or recipient ensures adequate personal data protection per PDPC criteria, or where appropriate safeguards/derogations apply (e.g., legal necessity or explicit consent with risks disclosed).","1. Provide transfer register (destinations, bases, safeguards).
2. Are transfer impact assessments/contracts in place and monitored?
3. Are data subjects informed of cross‑border transfers in the notice?","Consent collection forms/UI screenshots; Consent logs with timestamps and scope; Parental/guardian consent for minors; Privacy notice copies/screenshots at collection points; Version history and change log; Notice delivery evidence (web/app/email/offline); Disclosure register/log (recipient, purpose, basis); Approval workflow/records for disclosures; Onward transfer contractual clauses; Information security policies and standards; Access control reviews and logs; Encryption key management evidence; Incident response plan and report samples; List of transfer countries and systems; Transfer Impact Assessment (TIA); Cross‑border contract clauses / PDPC approvals",,
Ch. VIII – Complaints Handling,Ch. VIII,"Establish procedures to receive, investigate, and resolve complaints; cooperate with PDPC in complaint proceedings.","1. Is there a formal complaint SOP with roles, timelines, outcomes?
2. Evidence of cooperation with PDPC requests?",Policy/Procedure relevant to this requirement; Process flow/diagram and RACI; Sample records/logs demonstrating operation; Periodic review/approval evidence,,
Ch. IX – Civil Liability & Remedies,Ch. IX,Be prepared for civil claims and compensation where PDPA violations cause damage; maintain evidence demonstrating compliance and mitigation.,"1. Is litigation hold and evidence retention defined for incidents?
2. Are insurance/indemnities reviewed for PDPA coverage?","Retention schedule/policy by category; System enforcement evidence (job configs, DB policies); Deletion/anonymization logs; Legal hold/exception records; Information security policies and standards; Access control reviews and logs; Encryption key management evidence; Incident response plan and report samples; Signed Data Processing Agreements (DPAs); Processor due‑diligence/vendor risk assessments; Sub‑processor inventory and flow‑down clauses",,
Ch. X – Penalties & Sanctions,Ch. X,"Non-compliance may lead to administrative, civil, and criminal penalties; senior management should oversee compliance and remediation.","1. Has management defined risk appetite, KPIs, and escalation paths?
2. Are remediation plans tracked for findings and PDPC orders?",Policy/Procedure relevant to this requirement; Process flow/diagram and RACI; Sample records/logs demonstrating operation; Periodic review/approval evidence,,
