Clause,Reference,Description,Audit Question,Evidence Examples,Findings,Status
Change Management,11,"Changes are authorized, tested, and approved with segregation of duties between dev/test/prod. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are changes controlled with SoD enforced?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","Change tickets, approvals, access lists",,
Change‑Triggered Testing,12,"Security testing follows significant changes to confirm controls remain effective post‑change. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is testing performed after significant changes?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","Change records, test evidence",,
Comprehensive Log Sources,13,"All in‑scope systems, applications, and security tools send logs to a centralized platform. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are all relevant log sources onboarded?
2. Are network and data‑flow diagrams current, accurate, and aligned to the CMDB/change records?
3. Do diagrams clearly show CDE boundaries, trust zones, and third‑party connections?
4. Are all relevant log sources onboarded to the SIEM with defined parsing/use‑cases?
5. Are logs protected from alteration and retained per policy with time synchronization in place?
6. Are alerts triaged with documented investigation and closure?
7. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
8. Are privileged accounts separated, monitored, and vaulted where applicable?","SIEM source lists, onboarding tickets",,
Configuration Governance,14,"Secure configuration policies/standards define hardening requirements for all in-scope platforms and are kept current with industry benchmarks (e.g., CIS). This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are secure configuration policies defined, current, and referenced by operations?
2. Are network and data‑flow diagrams current, accurate, and aligned to the CMDB/change records?
3. Do diagrams clearly show CDE boundaries, trust zones, and third‑party connections?
4. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
5. Are privileged accounts separated, monitored, and vaulted where applicable?
6. Is access promptly revoked upon termination or role change?","Hardening standards, policy revisions, communications",,
Configuration Monitoring,15,"Continuous configuration monitoring detects and alerts on drift from hardened baselines. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is configuration drift monitored and remediated?
2. Are all relevant log sources onboarded to the SIEM with defined parsing/use‑cases?
3. Are logs protected from alteration and retained per policy with time synchronization in place?
4. Are alerts triaged with documented investigation and closure?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Compliance tool alerts, SIEM events",,
Copy/Export Controls for PAN,16,"Copying/exporting full PAN is restricted, justified, and logged to prevent unauthorized dissemination. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is copying/exporting PAN controlled and logged?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Are all relevant log sources onboarded to the SIEM with defined parsing/use‑cases?
6. Are logs protected from alteration and retained per policy with time synchronization in place?
7. Are alerts triaged with documented investigation and closure?
8. Is access granted on least‑privilege basis with documented approvals and periodic reviews?","DLP, endpoint controls, audit logs",,
Data Retention Limits,17,"Retention policies limit storage of CHD to business/legal needs for defined durations; unnecessary data is purged securely. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is retention limited and are purges performed and logged?
2. Are all relevant log sources onboarded to the SIEM with defined parsing/use‑cases?
3. Are logs protected from alteration and retained per policy with time synchronization in place?
4. Are alerts triaged with documented investigation and closure?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Retention policy, purge logs, storage scans",,
Data-Flow Diagram Coverage,18,"Data-flow diagrams identify all account data flows (CHD/SAD), protocols, and storage/transit points to ensure scoping accuracy and control design. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are data-flow diagrams maintained and accurate for all account data paths?
2. Are network and data‑flow diagrams current, accurate, and aligned to the CMDB/change records?
3. Do diagrams clearly show CDE boundaries, trust zones, and third‑party connections?
4. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
5. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
6. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
7. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
8. Are privileged accounts separated, monitored, and vaulted where applicable?","DFDs, architecture docs, integration inventories",,
Default Deny Posture,19,"NSCs enforce a deny-by-default posture; only explicitly approved services and ports are allowed. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Do NSC rules implement deny-by-default with explicit allow rules?
2. Do rule sets enforce a deny‑by‑default posture with business‑justified allow rules?
3. Are anti‑spoofing protections enabled and validated on all relevant interfaces?
4. Are rule sets reviewed at least semiannually and stale rules removed?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Policy exports, firewall screenshots, config backups",,
Device Inventory,20,"Devices that capture or store CHD are inventoried and physically protected against tampering/substitution. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is there a device inventory with tamper controls?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?
5. Are physical access controls (badging, CCTV) enforced for CDE areas with retained logs?
6. Is visitor access authorized, escorted as needed, and logged with retention?
7. Is media containing CHD secured in storage/transport and destroyed per policy?","Asset lists, inspection records",,
Disable Legacy Protocols,21,"Legacy/cleartext protocols (e.g., Telnet/FTP) are disabled or tightly controlled with compensating controls. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are legacy protocols disabled or strongly controlled?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","Scanner results, firewall rules, exceptions",,
Enable Only Required Services,22,"Only business-required services, protocols, and daemons are enabled; periodic reviews verify minimal attack surface. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are only required services enabled and reviewed periodically?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","Service lists, systemd configs, reviews",,
Encrypt Non‑Console Admin,23,"All remote administrative access employs strong cryptography and modern protocols. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is non‑console administration encrypted with strong protocols?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","SSH/TLS configs, port scans, bastion settings",,
End‑User Messaging Controls,24,"CHD/SAD is not sent via email, chat, SMS, or other messaging channels unless strongly encrypted and authorized. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is CHD/SAD prohibited in end‑user messaging or strongly encrypted when approved?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Messaging policy, DLP rules, samples",,
Facility Security,25,"Physical security controls protect facilities housing CDE systems (badges, mantraps, CCTV, guards). This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are facilities with CDE adequately secured?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?
5. Are physical access controls (badging, CCTV) enforced for CDE areas with retained logs?
6. Is visitor access authorized, escorted as needed, and logged with retention?
7. Is media containing CHD secured in storage/transport and destroyed per policy?","Access control system configs, floor plans",,
Incident Response,26,"An incident response plan defines detection, triage, containment, eradication, recovery, and post‑incident review for CHD/SAD incidents. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is there a tested incident response plan for PCI incidents?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","IR plan, test exercises, post‑mortems",,
Industry Benchmarks,27,"Configurations align with recognized benchmarks and are continuously monitored for drift. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Do configurations align with CIS/NIST baselines and is drift monitored?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?","CIS assessment reports, compliance tools output",,
Information Security Policy,28,"An enterprise security policy establishes governance, scope, roles, and management commitment for PCI DSS. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is there a governing information security policy approved by management?
2. Are network and data‑flow diagrams current, accurate, and aligned to the CMDB/change records?
3. Do diagrams clearly show CDE boundaries, trust zones, and third‑party connections?
4. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
5. Are privileged accounts separated, monitored, and vaulted where applicable?
6. Is access promptly revoked upon termination or role change?","Policy document, approvals",,
Insecure Protocol Handling,29,"Insecure or legacy protocols are disabled or wrapped with compensating security (e.g., TLS tunnels) with documented justification. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are insecure protocols removed or strongly secured with documented justification?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Service inventories, exception registers",,
Internal/External Vulnerability Scans,30,"Authenticated internal and external vulnerability scans run at defined intervals and after significant changes. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are internal/external scans run and tracked?
2. Are vulnerabilities identified, risk‑ranked, and remediated within defined SLAs?
3. Are authenticated internal/external scans and penetration tests performed per schedule and after changes?
4. Are exceptions to patch timelines documented with compensating controls?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Scan schedules, results, remediation tickets",,
Inventory and Roles,31,"An accurate inventory of system components in scope is maintained; each has an assigned business/technical role. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is the in‑scope inventory current and are roles assigned?
2. Are network and data‑flow diagrams current, accurate, and aligned to the CMDB/change records?
3. Do diagrams clearly show CDE boundaries, trust zones, and third‑party connections?
4. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
5. Are privileged accounts separated, monitored, and vaulted where applicable?
6. Is access promptly revoked upon termination or role change?","Asset register, CMDB, inventory exports",,
Key Lifecycle Management,32,"Key lifecycle processes cover generation, distribution, rotation, revocation, retirement, and destruction with dual control/split knowledge as applicable. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is the full key lifecycle defined and enforced?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","KMS procedures, custodian assignments",,
Key Protection,33,"Cryptographic keys are generated, stored, accessed, and rotated securely with least privilege and logging. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are keys protected against disclosure and misuse?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Are all relevant log sources onboarded to the SIEM with defined parsing/use‑cases?
6. Are logs protected from alteration and retained per policy with time synchronization in place?
7. Are alerts triaged with documented investigation and closure?
8. Is access granted on least‑privilege basis with documented approvals and periodic reviews?","HSM configs, key access logs, rotation records",,
Log Retention and Integrity,34,"Logs are retained per policy and protected from alteration/deletion; access to logs is restricted. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are logs retained and integrity‑protected?
2. Are all relevant log sources onboarded to the SIEM with defined parsing/use‑cases?
3. Are logs protected from alteration and retained per policy with time synchronization in place?
4. Are alerts triaged with documented investigation and closure?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","WORM storage, access lists, retention configs",,
Logging Standards,35,"Logging requirements define events, time sync, retention, and protection for logs across systems. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are logging standards defined and applied?
2. Are all relevant log sources onboarded to the SIEM with defined parsing/use‑cases?
3. Are logs protected from alteration and retained per policy with time synchronization in place?
4. Are alerts triaged with documented investigation and closure?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Logging policy, NTP configs",,
Malware Policy and Scope,36,"Malware protection strategy is documented, defines scope, frequency, and responsibilities across platforms. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is there a malware protection policy and scope definition?
2. Are network and data‑flow diagrams current, accurate, and aligned to the CMDB/change records?
3. Do diagrams clearly show CDE boundaries, trust zones, and third‑party connections?
4. Is AV/EDR deployed on all applicable systems with real‑time protection enabled?
5. Are signature/engine updates automatic and monitored for failures?
6. Are periodic scans scheduled and findings remediated promptly?
7. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
8. Are privileged accounts separated, monitored, and vaulted where applicable?","Policy, RACI, platform coverage matrix",,
Malware Tooling Coverage,37,"AV/EDR solutions are deployed on commonly affected systems and tuned against false positives/negatives. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is AV/EDR deployed and effective on all applicable systems?
2. Is AV/EDR deployed on all applicable systems with real‑time protection enabled?
3. Are signature/engine updates automatic and monitored for failures?
4. Are periodic scans scheduled and findings remediated promptly?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","EDR console coverage reports, host lists",,
Mask PAN on Display,38,"Displayed PAN is masked (first 6/last 4) except for users with documented business need. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Is PAN masked on display and access to full PAN restricted?
2. Is strong cryptography used with approved algorithms, key lengths, and protocol versions?
3. Is key management enforced (generation, storage, rotation, revocation) per documented procedures?
4. Is primary account number (PAN) masked on display and rendered unreadable at rest where applicable?
5. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
6. Are privileged accounts separated, monitored, and vaulted where applicable?
7. Is access promptly revoked upon termination or role change?","Screenshots, RBAC, UI configs",,
Media Controls,39,"Media containing CHD is labeled, stored securely, transported with chain‑of‑custody, and destroyed securely. This requirement is essential for ensuring PCI DSS v4.0.1 compliance. It reduces the risk of unauthorized access, enforces consistent security practices, and provides assurance that controls are implemented and operating effectively. Auditors will expect documented policies, technical enforcement, monitoring evidence, and validation that the control remains effective over time.","1. Are media handling and destruction controls enforced?
2. Is access granted on least‑privilege basis with documented approvals and periodic reviews?
3. Are privileged accounts separated, monitored, and vaulted where applicable?
4. Is access promptly revoked upon termination or role change?
5. Are physical access controls (badging, CCTV) enforced for CDE areas with retained logs?
6. Is visitor access authorized, escorted as needed, and logged with retention?
7. Is media containing CHD secured in storage/transport and destroyed per policy?","Media logs, destruction certs",,
