Function,Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Govern (GV) - 2,Risk Management Strategy,GV.RM-06,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Is there evidence that a standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated.?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 2,Risk Management Strategy,GV.RM-07,"Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Can the organization demonstrate how strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions.?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 3,"Roles, Responsibilities, and Authorities",GV.RR-01,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving.?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 3,"Roles, Responsibilities, and Authorities",GV.RR-02,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Has the organization documented and validated that roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced.?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 3,"Roles, Responsibilities, and Authorities",GV.RR-03,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies.?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 3,"Roles, Responsibilities, and Authorities",GV.RR-04,"Cybersecurity is included in human resources practices. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",Can the organization demonstrate how cybersecurity is included in human resources practices.?,Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 4,Policy,GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Is there evidence that policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced.?",Governance policy; Roles/responsibility matrix; Oversight committee minutes,,
Govern (GV) - 4,Policy,GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","How is it ensured that policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission.?",Governance policy; Roles/responsibility matrix; Oversight committee minutes,,
Govern (GV) - 5,Oversight,GV.OV-01,"Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction.?,Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 5,Oversight,GV.OV-02,"The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that the cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks.?,Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 5,Oversight,GV.OV-03,"Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What processes are in place to ensure that organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed.?,Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-01,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Is there evidence that a cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders.?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-02,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Is there evidence that cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally.?",Vendor risk assessment; Third-party contracts; Compliance attestations,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes.?",Policy document; Procedure/SOP; Sample logs/reports,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-04,"Suppliers are known and prioritized by criticality. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",Has the organization documented and validated that suppliers are known and prioritized by criticality.?,Vendor risk assessment; Third-party contracts; Compliance attestations,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Is there evidence that requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties.?",Vendor risk assessment; Third-party contracts; Compliance attestations,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-06,"Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships.?,Vendor risk assessment; Third-party contracts; Compliance attestations,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Has the organization documented and validated that the risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship.?",Vendor risk assessment; Third-party contracts; Compliance attestations,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","Can the organization demonstrate how relevant suppliers and other third parties are included in incident planning, response, and recovery activities.?",Vendor risk assessment; Third-party contracts; Compliance attestations,,
Govern (GV) - 6,Cybersecurity Supply Chain Risk Management,GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What processes are in place to ensure that supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle.?",SIEM alerts; IDS/IPS logs; Threat intelligence reports,,
Govern (GV) - 6 ,Cybersecurity Supply Chain Risk Management,GV.SC-10,"Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement.?,Policy document; Procedure/SOP; Sample logs/reports,,
Identify (ID),Asset Management,ID.AM-01,"Inventories of hardware managed by the organization are maintained. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that inventories of hardware managed by the organization are maintained.?,Hardware asset inventory; Network discovery reports; CMDB export,,
Identify (ID),Asset Management,ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that inventories of software, services, and systems managed by the organization are maintained.?",Software inventory; License documentation; Whitelist/blacklist logs,,
Identify (ID),Asset Management,ID.AM-03,"Representations of the organization’s authorized network communication and internal and external network data flows are maintained. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that representations of the organization’s authorized network communication and internal and external network data flows are maintained.?,Data classification policy; Data flow diagrams; Retention schedule,,
Identify (ID),Asset Management,ID.AM-04,"Inventories of services provided by suppliers are maintained. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that inventories of services provided by suppliers are maintained.?,Vendor risk assessment; Third-party contracts; Compliance attestations,,
Identify (ID),Asset Management,ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that assets are prioritized based on classification, criticality, resources, and impact on the mission.?",Hardware asset inventory; Network discovery reports; CMDB export,,
Identify (ID),Asset Management,ID.AM-07,"Inventories of data and corresponding metadata for designated data types are maintained. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that inventories of data and corresponding metadata for designated data types are maintained.?,Data classification policy; Data flow diagrams; Retention schedule,,
Identify (ID),Asset Management,ID.AM-08,"Systems, hardware, software, services, and data are managed throughout their life cycles. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that systems, hardware, software, services, and data are managed throughout their life cycles.?",Hardware asset inventory; Network discovery reports; CMDB export,,
Protect (PR),"Identity Management, Authentication, and Access Control",PR.AA-01,"Identities and credentials for authorized users, services, and hardware are managed by the organization. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that identities and credentials for authorized users, services, and hardware are managed by the organization.?",Hardware asset inventory; Network discovery reports; CMDB export,,
Protect (PR),"Identity Management, Authentication, and Access Control",PR.AA-02,"Identities are proofed and bound to credentials based on the context of interactions. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that identities are proofed and bound to credentials based on the context of interactions.?,Policy document; Procedure/SOP; Sample logs/reports,,
Protect (PR),"Identity Management, Authentication, and Access Control",PR.AA-03,"Users, services, and hardware are authenticated. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that users, services, and hardware are authenticated.?",Hardware asset inventory; Network discovery reports; CMDB export,,
Protect (PR),"Identity Management, Authentication, and Access Control",PR.AA-04,"Identity assertions are protected, conveyed, and verified. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that identity assertions are protected, conveyed, and verified.?",Access control policy; RBAC matrix; User provisioning logs; MFA evidence,,
Protect (PR),"Identity Management, Authentication, and Access Control",PR.AA-05,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed.?",Access control policy; RBAC matrix; User provisioning logs; MFA evidence,,
Protect (PR),"Identity Management, Authentication, and Access Control",PR.AA-06,"Physical access to assets is managed, monitored, and enforced commensurate with risk. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What processes are in place to ensure that physical access to assets is managed, monitored, and enforced commensurate with risk.?",Hardware asset inventory; Network discovery reports; CMDB export,,
Detect (DE)- 1,Continuous Monitoring,DE.CM-01,"Networks and network services are monitored to find potentially adverse events. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What processes are in place to ensure that networks and network services are monitored to find potentially adverse events.?,SIEM alerts; IDS/IPS logs; Threat intelligence reports,,
Detect (DE)- 1,Continuous Monitoring,DE.CM-02,"The physical environment is monitored to find potentially adverse events. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What processes are in place to ensure that the physical environment is monitored to find potentially adverse events.?,SIEM alerts; IDS/IPS logs; Threat intelligence reports,,
Detect (DE)- 1,Continuous Monitoring,DE.CM-03,"Personnel activity and technology usage are monitored to find potentially adverse events. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What processes are in place to ensure that personnel activity and technology usage are monitored to find potentially adverse events.?,SIEM alerts; IDS/IPS logs; Threat intelligence reports,,
Detect (DE)- 1,Continuous Monitoring,DE.CM-06,"External service provider activities and services are monitored to find potentially adverse events. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What processes are in place to ensure that external service provider activities and services are monitored to find potentially adverse events.?,SIEM alerts; IDS/IPS logs; Threat intelligence reports,,
Detect (DE)- 1,Continuous Monitoring,DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What processes are in place to ensure that computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events.?",Hardware asset inventory; Network discovery reports; CMDB export,,
Detect (DE)- 2,Adverse Event Analysis,DE.AE-02,"Potentially adverse events are analyzed to better understand associated activities. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that potentially adverse events are analyzed to better understand associated activities.?,Policy document; Procedure/SOP; Sample logs/reports,,
Detect (DE)- 2,Adverse Event Analysis,DE.AE-03,"Information is correlated from multiple sources. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that information is correlated from multiple sources.?,Policy document; Procedure/SOP; Sample logs/reports,,
Detect (DE)- 2,Adverse Event Analysis,DE.AE-04,"The estimated impact and scope of adverse events are understood. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",Has the organization documented and validated that the estimated impact and scope of adverse events are understood.?,Policy document; Procedure/SOP; Sample logs/reports,,
Detect (DE)- 2,Adverse Event Analysis,DE.AE-06,"Information on adverse events is provided to authorized staff and tools. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that information on adverse events is provided to authorized staff and tools.?,Policy document; Procedure/SOP; Sample logs/reports,,
Detect (DE)- 2,Adverse Event Analysis,DE.AE-07,"Cyber threat intelligence and other contextual information are integrated into the analysis. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that cyber threat intelligence and other contextual information are integrated into the analysis.?,Policy document; Procedure/SOP; Sample logs/reports,,
Detect (DE)- 2,Adverse Event Analysis,DE.AE-08,"Incidents are declared when adverse events meet the defined incident criteria. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that incidents are declared when adverse events meet the defined incident criteria.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 1,Incident Management,RS.MA-01,"The incident response plan is executed in coordination with relevant third parties once an incident is declared. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that the incident response plan is executed in coordination with relevant third parties once an incident is declared.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 1 ,Incident Management,RS.MA-02,"Incident reports are triaged and validated. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that incident reports are triaged and validated.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 1,Incident Management,RS.MA-03,"Incidents are categorized and prioritized. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that incidents are categorized and prioritized.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 1,Incident Management,RS.MA-04,"Incidents are escalated or elevated as needed. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that incidents are escalated or elevated as needed.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 1,Incident Management,RS.MA-05,"The criteria for initiating incident recovery are applied. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that the criteria for initiating incident recovery are applied.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 2,Incident Analysis,RS.AN-03,"Analysis is performed to establish what has taken place during an incident and the root cause of the incident. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that analysis is performed to establish what has taken place during an incident and the root cause of the incident.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 2,Incident Analysis,RS.AN-06,"Actions performed during an investigation are recorded, and the records’ integrity and provenance are preserved. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that actions performed during an investigation are recorded, and the records’ integrity and provenance are preserved.?",Policy document; Procedure/SOP; Sample logs/reports,,
Respond (RS) - 2,Incident Analysis,RS.AN-07,"Incident data and metadata are collected, and their integrity and provenance are preserved. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that incident data and metadata are collected, and their integrity and provenance are preserved.?",Data classification policy; Data flow diagrams; Retention schedule,,
Respond (RS) - 2,Incident Analysis,RS.AN-08,"An incident’s magnitude is estimated and validated. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that an incident’s magnitude is estimated and validated.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 3,Incident Response Reporting and Communication,RS.CO-02,"Internal and external stakeholders are notified of incidents. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that internal and external stakeholders are notified of incidents.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 3,Incident Response Reporting and Communication,RS.CO-03,"Information is shared with designated internal and external stakeholders. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that information is shared with designated internal and external stakeholders.?,Policy document; Procedure/SOP; Sample logs/reports,,
Respond (RS) - 4,Incident Mitigation,RS.MI-01,"Incidents are contained. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that incidents are contained.?,Incident response plan; Incident register; Simulation/test results,,
Respond (RS) - 4,Incident Mitigation,RS.MI-02,"Incidents are eradicated. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that incidents are eradicated.?,Incident response plan; Incident register; Simulation/test results,,
Recover (RC) - 1,Incident Recovery Plan Execution,RC.RP-01,"The recovery portion of the incident response plan is executed once initiated from the incident response process. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that the recovery portion of the incident response plan is executed once initiated from the incident response process.?,Incident response plan; Incident register; Simulation/test results,,
Recover (RC) - 1,Incident Recovery Plan Execution,RC.RP-02,"Recovery actions are selected, scoped, prioritized, and performed. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that recovery actions are selected, scoped, prioritized, and performed.?",BCP/DR plan; Backup logs; Restore test results,,
Recover (RC) - 1,Incident Recovery Plan Execution,RC.RP-03,"The integrity of backups and other restoration assets is verified before using them for restoration. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that the integrity of backups and other restoration assets is verified before using them for restoration.?,Hardware asset inventory; Network discovery reports; CMDB export,,
Recover (RC) - 1,Incident Recovery Plan Execution,RC.RP-04,"Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms.?,Incident response plan; Incident register; Simulation/test results,,
Recover (RC) - 1,Incident Recovery Plan Execution,RC.RP-05,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that the integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed.?",Hardware asset inventory; Network discovery reports; CMDB export,,
Recover (RC) - 1,Incident Recovery Plan Execution,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.","What evidence exists to support that the end of incident recovery is declared based on criteria, and incident-related documentation is completed.?",Incident response plan; Incident register; Simulation/test results,,
Recover (RC) - 2,Incident Recovery Communication,RC.CO-03,"Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",How is it ensured that recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders.?,BCP/DR plan; Backup logs; Restore test results,,
Recover (RC) - 2,Incident Recovery Communication,RC.CO-04,"Public updates on incident recovery are shared using approved methods and messaging. – This subcategory description has been expanded to include additional details, clarifications, and practical considerations for implementation and assessment.",What evidence exists to support that public updates on incident recovery are shared using approved methods and messaging.?,Incident response plan; Incident register; Simulation/test results,,
