Reference,Clause,Description,Audit Questions,Evidence / Artifacts,Status
APO06,Manage Budget and Costs,"This control objective focuses on the organization's ability to manage budget and costs. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; IT budget & forecast; Variance analysis reports; Cost allocation model",
APO07,Manage Human Resources,"This control objective focuses on the organization's ability to manage human resources. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Workforce plan and role descriptions; Training/competency records; Succession plan",
APO08,Manage Relationships,"This control objective focuses on the organization's ability to manage relationships. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Business relationship plans; Stakeholder satisfaction metrics; Account review minutes",
APO09,Manage Service Agreements,"This control objective focuses on the organization's ability to manage service agreements. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Service catalog & SLAs/OLAs; Service level reports; SLA review minutes",
APO10,Manage Vendors,"This control objective focuses on the organization's ability to manage vendors. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Vendor due‑diligence & onboarding records; Contracts/SLAs and performance reviews; Risk assessments for critical suppliers; Vendor contracts, risk assessments, performance reviews",
APO11,Manage Quality,"This control objective focuses on the organization's ability to manage quality. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Quality management plan; Process quality metrics; QA reviews and corrective actions",
APO12,Manage Risk,"This control objective focuses on the organization's ability to manage risk. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Knowledge management strategy; KM repository structure & examples; Retention/curation workflows",
APO13,Manage Security,"This control objective focuses on the organization's ability to manage security. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Information security policies & standards; Risk assessments & treatment plans; ISMS performance metrics; Security policies, risk assessments, vulnerability/patch evidence",
BAI01,Manage Programs and Projects,"This control objective focuses on the organization's ability to manage programs and projects. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Program/project charters & plans; Stage‑gate/steering committee minutes; Status reports & RAID logs",
BAI02,Manage Requirements Definition,"This control objective focuses on the organization's ability to manage requirements definition. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Requirements specs & traceability; Change requests and approvals; User sign‑offs; Privacy/security requirements; Data protection impact assessments; Compliance checkpoints",
BAI03,Manage Solutions Identification and Build,"This control objective focuses on the organization's ability to manage solutions identification and build. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Solution architecture/design docs; Design review records; Security/privacy design assessments",
BAI04,Manage Availability and Capacity,"This control objective focuses on the organization's ability to manage availability and capacity. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Capacity plans & utilization reports; HA/DR architecture and tests; Performance monitoring metrics",
BAI05,Manage Organizational Change Enablement,"This control objective focuses on the organization's ability to manage organizational change enablement. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Change impact assessments; Training/communication plans; Adoption metrics",
BAI06,Manage IT Changes,"This control objective focuses on the organization's ability to manage it changes. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Change records with approvals; CAB meeting minutes; Emergency change procedures",
BAI07,Manage Change Acceptance and Transitioning,"This control objective focuses on the organization's ability to manage change acceptance and transitioning. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Release plans & calendars; Deployment runbooks; Rollback/test evidence",
BAI08,Manage Knowledge,"This control objective focuses on the organization's ability to manage knowledge. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Knowledge articles/runbooks; Post‑incident knowledge capture; KM usage analytics",
BAI09,Manage Assets,"This control objective focuses on the organization's ability to manage assets. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; CMDB/assets register; Licensing & warranty records; Asset lifecycle procedures",
BAI10,Manage Configuration,"This control objective focuses on the organization's ability to manage configuration. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; CM configuration standards; Baseline & version control records; Configuration audit results",
DSS01,Manage Operations,"This control objective focuses on the organization's ability to manage operations. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Operations manuals/SOPs; Job schedules & monitoring logs; Capacity/availability reports",
DSS02,Manage Service Requests and Incidents,"This control objective focuses on the organization's ability to manage service requests and incidents. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Incident tickets & SLAs; Major incident reports; Service request workflows",
DSS03,Manage Problems,"This control objective focuses on the organization's ability to manage problems. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Problem records & root cause analyses; Known error database; Trend reports",
DSS04,Manage Continuity,"This control objective focuses on the organization's ability to manage continuity. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; BCP/DR plans; DR test results; RTO/RPO definitions",
DSS05,Manage Security Services,"This control objective focuses on the organization's ability to manage security services. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; SOC monitoring procedures; Vulnerability/patch reports; Access reviews & logs; Security policies, risk assessments, vulnerability/patch evidence",
DSS06,Manage Business Process Controls,"This control objective focuses on the organization's ability to manage business process controls. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Application control documentation; Interface/reconciliation evidence; Control testing results",
MEA01,"Monitor, Evaluate, and Assess Performance and Conformance","This control objective focuses on the organization's ability to monitor, evaluate, and assess performance and conformance. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; KPI dashboards & reports; Service review minutes; Corrective action plans",
MEA02,"Monitor, Evaluate, and Assess the System of Internal Control","This control objective focuses on the organization's ability to monitor, evaluate, and assess the system of internal control. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Control self‑assessment (CSA) results; Internal control framework mapping; Remediation tracking logs",
MEA03,"Monitor, Evaluate, and Assess Compliance with External Requirements","This control objective focuses on the organization's ability to monitor, evaluate, and assess compliance with external requirements. It ensures processes are defined, documented, monitored, and improved to align with business goals.","1. Is there a documented process?
2. Is the process aligned with business needs?
3. Are roles and responsibilities defined?
4. Are reviews performed regularly?","Policies, procedures, meeting minutes, reports, logs; Compliance assessment reports; Regulatory mapping and evidence; External/internal audit reports",
