Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
Article 1,19,"Controller: Any Public Entity, natural person or private legal person that specifies the purpose and manner of Processing Personal Data, whether the data is processed by that Controller or by the Processor.","1. Is the following requirement implemented: Controller: Any Public Entity, natural person or private legal person that specifies the purpose and manner of Processing Personal Data, whether the data is processed by that Controller or by the Processor.?
2. Are there controls or procedures verifying adherence to: Controller: Any Public Entity, natural person or private legal person that specifies the purpose and manner of Processing Personal Data, whether the data is processed by that Controller or by the Processor.?","Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs",,
Article 1,20,"Processor: Any Public Entity, natural person or private legal person that processes Personal Data for the benefit and on behalf of the Controller.","1. Is the following requirement implemented: Processor: Any Public Entity, natural person or private legal person that processes Personal Data for the benefit and on behalf of the Controller.?
2. Are there controls or procedures verifying adherence to: Processor: Any Public Entity, natural person or private legal person that processes Personal Data for the benefit and on behalf of the Controller.?","Data Classification Policy, Records of Processing Activities",,
Article 2,21,"The Law applies to any Processing of Personal Data related to individuals that takes place in the Kingdom by any means, including the Processing of Personal Data related to individuals residing in the Kingdom by any means from any party outside the Kingdom. This includes the data of the deceased if it would lead to them or a member of their family being identified specifically.","1. Is the following requirement implemented: The Law applies to any Processing of Personal Data related to individuals that takes place in the Kingdom by any means, including the Processing of Personal Data related to individuals residing in the Kingdom by any means from any party outside the Kingdom. This includes the data of the deceased if it would lead to them or a member of their family being identified specifically.?
2. Are there controls or procedures verifying adherence to: The Law applies to any Processing of Personal Data related to individuals that takes place in the Kingdom by any means, including the Processing of Personal Data related to individuals residing in the Kingdom by any means from any party outside the Kingdom. This includes the data of the deceased if it would lead to them or a member of their family being identified specifically.?","Data Protection Policies, PDPL Implementation Procedures; Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs",,
Article 2,22,"The scope of applying the Law excludes the individual's Personal Data Processing for purposes that do not go beyond personal or family use, as long as the Data Subject did not publish or disclose it to others. The Regulations shall define personal and family use provided in this Paragraph.","1. Is the following requirement implemented: The scope of applying the Law excludes the individual's Personal Data Processing for purposes that do not go beyond personal or family use, as long as the Data Subject did not publish or disclose it to others. The Regulations shall define personal and family use provided in this Paragraph.?
2. Are there controls or procedures verifying adherence to: The scope of applying the Law excludes the individual's Personal Data Processing for purposes that do not go beyond personal or family use, as long as the Data Subject did not publish or disclose it to others. The Regulations shall define personal and family use provided in this Paragraph.?","Data Protection Policies, PDPL Implementation Procedures; Records of Processing Activities, Data Protection Policy; Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs",,
Article 3,23,The provisions and procedures stated in this Law shall not prejudice any provision that grants a right to the Data Subject or confers better protection to Personal Data pursuant to any other law or an international agreement to which the Kingdom is a party. Article 4 Data Subject shall have the following rights pursuant to this Law and as set out in the Regulations:,"1. Is the following requirement implemented: The provisions and procedures stated in this Law shall not prejudice any provision that grants a right to the Data Subject or confers better protection to Personal Data pursuant to any other law or an international agreement to which the Kingdom is a party. Article 4 Data Subject shall have the following rights pursuant to this Law and as set out in the Regulations:?
2. Are there controls or procedures verifying adherence to: The provisions and procedures stated in this Law shall not prejudice any provision that grants a right to the Data Subject or confers better protection to Personal Data pursuant to any other law or an international agreement to which the Kingdom is a party. Article 4 Data Subject shall have the following rights pursuant to this Law and as set out in the Regulations:?","Data Protection Policies, PDPL Implementation Procedures; Records of Processing Activities, Data Protection Policy; Data Classification Policy, Records of Processing Activities",,
Article 3,24,The right to be informed about the legal basis and the purpose of the Collection of their Personal Data.,"1. Has the organization established procedures to ensure The right to be informed about the legal basis and the purpose of the Collection of their Personal Data.?
2. Can the Data Subject exercise this right effectively in practice?","Data Classification Policy, Records of Processing Activities; Consent Forms, Data Collection Notices",,
Article 3,25,"The right to access their Personal Data held by the Controller, in accordance with the rules and procedures set out in the Regulations, and without prejudice to the provisions of Article (9) of this Law.","1. Has the organization established procedures to ensure The right to access their Personal Data held by the Controller, in accordance with the rules and procedures set out in the Regulations, and without prejudice to the provisions of Article (9) of this Law.?
2. Can the Data Subject exercise this right effectively in practice?","Data Protection Policies, PDPL Implementation Procedures; Records of Processing Activities, Data Protection Policy; Data Classification Policy, Records of Processing Activities",,
Article 3,26,"The right to request obtaining their Personal Data held by the Controller in a readable and clear format, in accordance with the controls and procedures specified by the Regulations.","1. Has the organization established procedures to ensure The right to request obtaining their Personal Data held by the Controller in a readable and clear format, in accordance with the controls and procedures specified by the Regulations.?
2. Can the Data Subject exercise this right effectively in practice?","Records of Processing Activities, Data Protection Policy; Data Classification Policy, Records of Processing Activities",,
Article 3,27,"The right to request correcting, completing, or updating their Personal Data held by the Controller.","1. Has the organization established procedures to ensure The right to request correcting, completing, or updating their Personal Data held by the Controller.?
2. Can the Data Subject exercise this right effectively in practice?","Data Classification Policy, Records of Processing Activities",,
Article 3,28,"The right to request a Destruction of their Personal Data held by the Controller when such Personal Data is no longer needed by Data Subject, without prejudice to the provisions of Article (18) of this Law.","1. Has the organization established procedures to ensure The right to request a Destruction of their Personal Data held by the Controller when such Personal Data is no longer needed by Data Subject, without prejudice to the provisions of Article (18) of this Law.?
2. Can the Data Subject exercise this right effectively in practice?","Data Protection Policies, PDPL Implementation Procedures; Data Classification Policy, Records of Processing Activities; Data Retention & Disposal Policy, Data Deletion Logs",,
Article 5,29,"Except for the cases stated in this Law, neither Personal Data may be processed nor the purpose of Personal Data Processing may be changed without the consent of the Data Subject. The Regulations Shall set out the conditions of the consent, the cases in which the consent must be explicit, and the terms and conditions related to obtaining the consent of the legal guardian if the Data Subject fully or partially lacks legal capacity.","1. Is the following requirement implemented: Except for the cases stated in this Law, neither Personal Data may be processed nor the purpose of Personal Data Processing may be changed without the consent of the Data Subject. The Regulations Shall set out the conditions of the consent, the cases in which the consent must be explicit, and the terms and conditions related to obtaining the consent of the legal guardian if the Data Subject fully or partially lacks legal capacity.?
2. Are there controls or procedures verifying adherence to: Except for the cases stated in this Law, neither Personal Data may be processed nor the purpose of Personal Data Processing may be changed without the consent of the Data Subject. The Regulations Shall set out the conditions of the consent, the cases in which the consent must be explicit, and the terms and conditions related to obtaining the consent of the legal guardian if the Data Subject fully or partially lacks legal capacity.?","Data Protection Policies, PDPL Implementation Procedures; Records of Processing Activities, Data Protection Policy; Consent Forms, Privacy Notices, Consent Logs; Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs",,
Article 5,30,"In all cases, Data Subject may withdraw the consent mentioned in Paragraph (1) of this Article at any time; the Regulations determines the necessary controls for such case.","1. Is the following requirement implemented: In all cases, Data Subject may withdraw the consent mentioned in Paragraph (1) of this Article at any time; the Regulations determines the necessary controls for such case.?
2. Are there controls or procedures verifying adherence to: In all cases, Data Subject may withdraw the consent mentioned in Paragraph (1) of this Article at any time; the Regulations determines the necessary controls for such case.?","Records of Processing Activities, Data Protection Policy; Consent Forms, Privacy Notices, Consent Logs",,
Article 6,31,"In the following cases, Processing of Personal Data shall not be subject to the consent referred to in Paragraph (1) of Article (5) herein:","1. Is the following requirement implemented: In the following cases, Processing of Personal Data shall not be subject to the consent referred to in Paragraph (1) of Article (5) herein:?
2. Are there controls or procedures verifying adherence to: In the following cases, Processing of Personal Data shall not be subject to the consent referred to in Paragraph (1) of Article (5) herein:?","Consent Forms, Privacy Notices, Consent Logs; Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs",,
Article 6,32,"If the Processing serves actual interests of the Data Subject, but communicating with the Data Subject is impossible or difficult.","1. Does the Controller take appropriate action when If the Processing serves actual interests of the Data Subject, but communicating with the Data Subject is impossible or difficult.?","Processing Register, Audit Logs",,
Article 6,33,If the Processing is pursuant to another law or in implementation of a previous agreement to which the Data Subject is a party.,1. Does the Controller take appropriate action when If the Processing is pursuant to another law or in implementation of a previous agreement to which the Data Subject is a party.?,"Data Protection Policies, PDPL Implementation Procedures; Processing Register, Audit Logs",,
Article 6,34,"If the Controller is a Public Entity and the Processing is required for security purposes or to satisfy judicial requirements. 4-If the Processing is necessary for the purpose of legitimate interest of the Controller, without prejudice to the rights and interests of the Data Subject, and provided that no Sensitive Data is to be processed. Related provisions and controls are set out in the Regulations.","1. Does the Controller take appropriate action when If the Controller is a Public Entity and the Processing is required for security purposes or to satisfy judicial requirements. 4-If the Processing is necessary for the purpose of legitimate interest of the Controller, without prejudice to the rights and interests of the Data Subject, and provided that no Sensitive Data is to be processed. Related provisions and controls are set out in the Regulations.?","Records of Processing Activities, Data Protection Policy; Processing Register, Audit Logs; Access Control Policy, Encryption Evidence, Backup Procedures",,
Article 7,35,"The consent referred to in paragraph (1) of Article (5) of this Law may not form a condition of providing a service or a benefit, unless such service or benefit is directly related to the Processing of Personal Data for which the consent is given.","1. Is the following requirement implemented: The consent referred to in paragraph (1) of Article (5) of this Law may not form a condition of providing a service or a benefit, unless such service or benefit is directly related to the Processing of Personal Data for which the consent is given.?
2. Are there controls or procedures verifying adherence to: The consent referred to in paragraph (1) of Article (5) of this Law may not form a condition of providing a service or a benefit, unless such service or benefit is directly related to the Processing of Personal Data for which the consent is given.?","Data Protection Policies, PDPL Implementation Procedures; Consent Forms, Privacy Notices, Consent Logs; Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs",,
Article 8,36,"Subject to the provisions of this Law and the Regulations regarding the Disclosure of Personal Data, the Controller shall only select Processors providing the necessary guarantees to implement the provisions of this Law and the Regulations. The Controller shall also monitor the compliance of said Processors with the provisions of this Law and the Regulations. This shall not prejudice the Controller’s responsibilities towards the Data Subject or the Competent Authority as the case may be. The Regulations shall set out the provisions necessary in this regard, including provisions related to any subsequent contracts conducted by the Processor.","1. Is the following requirement implemented: Subject to the provisions of this Law and the Regulations regarding the Disclosure of Personal Data, the Controller shall only select Processors providing the necessary guarantees to implement the provisions of this Law and the Regulations. The Controller shall also monitor the compliance of said Processors with the provisions of this Law and the Regulations. This shall not prejudice the Controller’s responsibilities towards the Data Subject or the Competent Authority as the case may be. The Regulations shall set out the provisions necessary in this regard, including provisions related to any subsequent contracts conducted by the Processor.?
2. Are there controls or procedures verifying adherence to: Subject to the provisions of this Law and the Regulations regarding the Disclosure of Personal Data, the Controller shall only select Processors providing the necessary guarantees to implement the provisions of this Law and the Regulations. The Controller shall also monitor the compliance of said Processors with the provisions of this Law and the Regulations. This shall not prejudice the Controller’s responsibilities towards the Data Subject or the Competent Authority as the case may be. The Regulations shall set out the provisions necessary in this regard, including provisions related to any subsequent contracts conducted by the Processor.?","Data Protection Policies, PDPL Implementation Procedures; Records of Processing Activities, Data Protection Policy; Data Classification Policy, Records of Processing Activities; Third-party Agreements, Data Sharing Logs; Governance Structure, DPO Appointment Letter",,
Article 9,37,The Controller may set time frames for exercising the right to access Personal Data stated in Paragraph (2) of Article (4) herein as stipulated in the Regulations. The Controller may limit the exercise of this right in the following cases:,"1. Is the following requirement implemented: The Controller may set time frames for exercising the right to access Personal Data stated in Paragraph (2) of Article (4) herein as stipulated in the Regulations. The Controller may limit the exercise of this right in the following cases:?
2. Are there controls or procedures verifying adherence to: The Controller may set time frames for exercising the right to access Personal Data stated in Paragraph (2) of Article (4) herein as stipulated in the Regulations. The Controller may limit the exercise of this right in the following cases:?","Records of Processing Activities, Data Protection Policy; Data Classification Policy, Records of Processing Activities",,
Article 9,38,"If this is necessary to protect the Data Subject or other parties from any harm, according to the provisions set forth the Regulations.","1. Does the Controller take appropriate action when If this is necessary to protect the Data Subject or other parties from any harm, according to the provisions set forth the Regulations.?","Records of Processing Activities, Data Protection Policy",,
Article 9,39,"If the Controller is a Public Entity and the restriction is required for security purposes, required by another law, or required to fulfill judicial requirements.","1. Does the Controller take appropriate action when If the Controller is a Public Entity and the restriction is required for security purposes, required by another law, or required to fulfill judicial requirements.?","Data Protection Policies, PDPL Implementation Procedures; Access Control Policy, Encryption Evidence, Backup Procedures",,
Article 9,40,"The Controller shall prevent the Data Subject from accessing Personal Data in any of the situations stated in Paragraphs (1, 2, 3, 4, 5) and (6) of Article (16) herein.","1. Is the following requirement implemented: The Controller shall prevent the Data Subject from accessing Personal Data in any of the situations stated in Paragraphs (1, 2, 3, 4, 5) and (6) of Article (16) herein.?
2. Are there controls or procedures verifying adherence to: The Controller shall prevent the Data Subject from accessing Personal Data in any of the situations stated in Paragraphs (1, 2, 3, 4, 5) and (6) of Article (16) herein.?","Data Classification Policy, Records of Processing Activities",,
Article 10,41,"The Controller may only collect Personal Data directly from the Data Subject and may only process Personal Data for the purposes for which they have been collected. However, the Controller may collect Personal Data from a source other that the Data Subject and may process Personal Data for purposes other than the ones for which they have been collected in the following situations:","1. Is the following requirement implemented: The Controller may only collect Personal Data directly from the Data Subject and may only process Personal Data for the purposes for which they have been collected. However, the Controller may collect Personal Data from a source other that the Data Subject and may process Personal Data for purposes other than the ones for which they have been collected in the following situations:?
2. Are there controls or procedures verifying adherence to: The Controller may only collect Personal Data directly from the Data Subject and may only process Personal Data for the purposes for which they have been collected. However, the Controller may collect Personal Data from a source other that the Data Subject and may process Personal Data for purposes other than the ones for which they have been collected in the following situations:?","Data Classification Policy, Records of Processing Activities",,
Article 10,42,The Data Subject gives their consent in accordance with the provisions of this Law.,"1. Is the following requirement implemented: The Data Subject gives their consent in accordance with the provisions of this Law.?
2. Are there controls or procedures verifying adherence to: The Data Subject gives their consent in accordance with the provisions of this Law.?","Data Protection Policies, PDPL Implementation Procedures; Consent Forms, Privacy Notices, Consent Logs",,
Article 10,43,"Personal Data is publicly available or was collected from a publicly available source. 3- The Controller is a Public Entity, and the Collection or Processing of the Personal Data is required for public interest or security purposes, or to implement another law, or to fulfill judicial requirements.","1. Is the following requirement implemented: Personal Data is publicly available or was collected from a publicly available source. 3- The Controller is a Public Entity, and the Collection or Processing of the Personal Data is required for public interest or security purposes, or to implement another law, or to fulfill judicial requirements.?
2. Are there controls or procedures verifying adherence to: Personal Data is publicly available or was collected from a publicly available source. 3- The Controller is a Public Entity, and the Collection or Processing of the Personal Data is required for public interest or security purposes, or to implement another law, or to fulfill judicial requirements.?","Data Protection Policies, PDPL Implementation Procedures; Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs; Consent Forms, Data Collection Notices; Access Control Policy, Encryption Evidence, Backup Procedures",,
Article 10,44,Complying with this may harm the Data Subject or affect their vital interests,"1. Is the following requirement implemented: Complying with this may harm the Data Subject or affect their vital interests?
2. Are there controls or procedures verifying adherence to: Complying with this may harm the Data Subject or affect their vital interests?",,,
Article 10,45,"Personal Data Collection or Processing is necessary to protect public health, public safety, or to protect the life or health of specific individuals.","1. Is the following requirement implemented: Personal Data Collection or Processing is necessary to protect public health, public safety, or to protect the life or health of specific individuals.?
2. Are there controls or procedures verifying adherence to: Personal Data Collection or Processing is necessary to protect public health, public safety, or to protect the life or health of specific individuals.?","Data Classification Policy, Records of Processing Activities; Processing Register, Audit Logs; Consent Forms, Data Collection Notices",,
Article 10,46,Personal Data is not to be recorded or stored in a form that makes it possible to directly or indirectly identify the Data Subject.,"1. Is the following requirement implemented: Personal Data is not to be recorded or stored in a form that makes it possible to directly or indirectly identify the Data Subject.?
2. Are there controls or procedures verifying adherence to: Personal Data is not to be recorded or stored in a form that makes it possible to directly or indirectly identify the Data Subject.?","Data Classification Policy, Records of Processing Activities",,
Article 10,47,"Personal Data Collection is necessary to achieve legitimate interests of the Controller, without prejudice to the rights and interests of the Data Subject, and provided that no Sensitive Data is to be processed. The Regulations shall set out the provisions, controls and procedures related to what is stated in paragraphs (2) to (7) of this Article.","1. Is the following requirement implemented: Personal Data Collection is necessary to achieve legitimate interests of the Controller, without prejudice to the rights and interests of the Data Subject, and provided that no Sensitive Data is to be processed. The Regulations shall set out the provisions, controls and procedures related to what is stated in paragraphs (2) to (7) of this Article.?
2. Are there controls or procedures verifying adherence to: Personal Data Collection is necessary to achieve legitimate interests of the Controller, without prejudice to the rights and interests of the Data Subject, and provided that no Sensitive Data is to be processed. The Regulations shall set out the provisions, controls and procedures related to what is stated in paragraphs (2) to (7) of this Article.?","Records of Processing Activities, Data Protection Policy; Data Classification Policy, Records of Processing Activities; Consent Forms, Data Collection Notices",,
Article 11,48,"The purpose for which Personal Data is collected shall be directly related to the Controller’s purposes, and shall not contravene any legal provisions.","1. Is the following requirement implemented: The purpose for which Personal Data is collected shall be directly related to the Controller’s purposes, and shall not contravene any legal provisions.?
2. Are there controls or procedures verifying adherence to: The purpose for which Personal Data is collected shall be directly related to the Controller’s purposes, and shall not contravene any legal provisions.?","Data Classification Policy, Records of Processing Activities",,
Article 11,49,"The methods and means of Personal Data Collection shall not conflict with any legal provisions, shall be appropriate for the circumstances of the Data Subject, shall be direct, clear and secure, and shall not involve any deception, misleading or extortion.","1. Is the following requirement implemented: The methods and means of Personal Data Collection shall not conflict with any legal provisions, shall be appropriate for the circumstances of the Data Subject, shall be direct, clear and secure, and shall not involve any deception, misleading or extortion.?
2. Are there controls or procedures verifying adherence to: The methods and means of Personal Data Collection shall not conflict with any legal provisions, shall be appropriate for the circumstances of the Data Subject, shall be direct, clear and secure, and shall not involve any deception, misleading or extortion.?","Data Classification Policy, Records of Processing Activities; Consent Forms, Data Collection Notices",,
Article 11,50,The content of the Personal Data shall be appropriate and limited to the minimum amount necessary to achieve the purpose of the Collection. Content that may lead to specifically identifying Data Subject once the purpose of Collection is achieved shall be avoided. The Regulations shall set out the necessary controls in this regard.,"1. Is the following requirement implemented: The content of the Personal Data shall be appropriate and limited to the minimum amount necessary to achieve the purpose of the Collection. Content that may lead to specifically identifying Data Subject once the purpose of Collection is achieved shall be avoided. The Regulations shall set out the necessary controls in this regard.?
2. Are there controls or procedures verifying adherence to: The content of the Personal Data shall be appropriate and limited to the minimum amount necessary to achieve the purpose of the Collection. Content that may lead to specifically identifying Data Subject once the purpose of Collection is achieved shall be avoided. The Regulations shall set out the necessary controls in this regard.?","Records of Processing Activities, Data Protection Policy; Data Classification Policy, Records of Processing Activities; Consent Forms, Data Collection Notices",,
Article 11,51,"If the Personal Data collected is no longer necessary for the purpose for which it has been collected, the Controller shall, without undue delay, cease their Collection and destroy previously collected Personal Data.","1. Does the Controller take appropriate action when If the Personal Data collected is no longer necessary for the purpose for which it has been collected, the Controller shall, without undue delay, cease their Collection and destroy previously collected Personal Data.?","Data Classification Policy, Records of Processing Activities; Consent Forms, Data Collection Notices",,
