Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
CHAPTER II PROCESSING OF PERSONAL DATA,Article 11,". Sensitive personal data can only be processed in the following events: I – whenever the data subjects or their legal representative specifically and emphatically consent to such processing, for specific purposes; II – without the supply of the data subjects’ consent, whenever they are essential for: a) compliance with a statutory or regulatory obligation by the controller; b) shared processing of data required for the enforcement, by the public administration, of public policies set forth in the laws or regulations; c) the conduction of studies by a research bodies, guaranteeing, whenever possible, anonymization of the sensitive personal data; d) regular exercise of rights, including in agreements and in lawsuits, administrative or arbitration proceedings, the latter pursuant to the provisions of Law No. 9.307, of September 23, 1996 (Arbitration Law); e) protection of the life or of the physical safety of the data subjects or of third parties; f) protection of the health, in a procedure carried out by health professionals or by sanitary entities; or g) guarantee of the prevention of fraud and of the security of the data subjects, in the processes of identification and certification of record in electronic systems, observing the rights mentioned in article 9 of this Law and except in the event of prevalence of fundamental rights and liberties of the data subjects that require protection of the personal data. Paragraph 1 The provisions of this article apply to any processing of personal data that discloses sensitive personal data and which may cause damage to the data subjects, except as otherwise provided in a specific law. Paragraph 2 In the events of application of the provisions of letters “a” and “b” of item II of the head provision of this article by the bodies and public entities, said waiver of consent shall be made public, pursuant to the provisions of item I of the head provision of article 23 of this Law. Paragraph 3 The communication or the shared use of sensitive personal data among controllers for the purpose of obtaining economic benefit may be prohibited or regulated by the supervisory authority, after consultation with the sectorial Government bodies, within the scope of their duties. Paragraph 4 The communication or shared used among controllers of sensitive data relating to health for the purpose of obtaining economic benefit is prohibited, except in the events of portability of data, upon the data subjects’ consent.",Does the organization obtain and manage consent appropriately as required under Article 11?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 12,". Anonymized data shall not be deemed personal data for purposes of this Law, except when the anonymization process to which they have been submitted is reversed, using solely the appropriate means, or whenever it can be reversed with reasonable efforts. Paragraph 1 The determination of what is reasonable shall take objective factors into consideration, such as the cost and time required to reverse the anonymization process, in accordance with the available technologies, and the exclusive use of appropriate means. Paragraph 2 For purposes of this Law, the data used for formation of the behavioral profile of a given natural person, if identified, may also be deemed personal data. Paragraph 3 The supervisory authority may provide on standards and techniques used in anonymization processes and make verifications about the security thereof, after consultation with the Brazilian Personal Data Protection Board.",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 12?,"Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 13,". In the conduction of studies on public health, the research bodies may have access to personal databases, which shall be exclusively processed within those bodies and for the sole purpose of conduction of studies and researches, and they must always be kept in a controlled and safe environment, according to the security practices set forth in the specific regulations and which include, whenever possible, the anonymization or pseudonymization of the data, and which consider the due ethical standards relating to studies and researches. Paragraph 1 The disclosure of the results or of any excerpt of the study or of the research set forth in the head provision of this article cannot in any way reveal personal data. Paragraph 2 The research body shall be responsible for the security of the information set forth in the head provision of this article, and transfer of the data to third parties shall not be in any way permitted. Paragraph 3 The access to the data set forth in this article shall be regulated by the supervisory authority and by the health and sanitary authorities, within the scope of their duties. Paragraph 4 For the effects of this article, the pseudonymization is the processing by means of which a data loses the possibility of direct or indirect association to a natural person, except for the use of additional information separately kept by the controller in a controlled and safe environment. Section III Processing of Personal Data of Children and Adolescents",Has the organization implemented and maintained adequate security measures and incident response mechanisms under Article 13?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Age-assurance mechanism description ; Parental/guardian consent capture evidence ; Enhanced notice for minors ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 14,". The processing of personal data of children and adolescents shall be carried out to their best interest, pursuant to the provisions of this article and of the applicable law. Paragraph 1 The processing of personal data of children shall be carried out with the specific and separate consent of at least one of the parents or by the legal guardian. Paragraph 2 In the processing of data set forth in paragraph 1 of this article, the controllers shall maintain public the information on the types of data collected, the form of use thereof and the procedures for exercise of the rights referred to in article 18 of this Law. Paragraph 3 Personal data of children may be collected without the consent referred to in paragraph 1 of this article whenever the collection is necessary to contact the parents or the legal guardian, used a single time and without storage, or for their protection, and they cannot be transferred to third parties, under any circumstance, without the consent set forth in paragraph 1 of this article. Paragraph 4 The controllers shall not subject the participation of the data subjects as set forth in paragraph 1 of this article in games, internet applications or other activities to the provision of personal information in addition to those strictly necessary for the activity. Paragraph 5 The controller shall use all reasonable efforts to confirm that the consent to which paragraph 1 of this article refers was given by the person responsible for the child, considering the available technologies. Paragraph 6 The information on the processing of data referred to in this article shall be provided in a clear, simple and accessible manner, considering the physical and motor, perceptive, sensorial, intellectual and mental characteristics of the users, with the use of audiovisual resources whenever appropriate, in order to provide the necessary information to the parents or to the legal guardian, as appropriate for the children’s understanding. Section IV Termination of the Processing of Personal Data",Does the organization obtain and manage consent appropriately as required under Article 14?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Age-assurance mechanism description ; Parental/guardian consent capture evidence ; Enhanced notice for minors ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER II PROCESSING OF PERSONAL DATA,Article 15,". Termination of the processing of personal data shall occur in the following events: I – verification that the purpose was reached or that the data are no longer necessary or pertinent to attain the specific purpose sought; II – lapse of the processing period; III - communication of the data subjects, including in the exercise of their right to revoke the consent as set forth in paragraph 5 of article 8 of this Law, upon protection of the public interest; or IV – order of the supervisory authority, in the event of breach of the provisions of this Law.",Does the organization obtain and manage consent appropriately as required under Article 15?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER III RIGHTS OF THE DATA SUBJECT,Article 16,". The personal data shall be eliminated after termination of the processing thereof, within the scope and technical limits of the activities, and conservation thereof shall be authorized for the following purposes: I - compliance with a statutory or regulatory obligation by the controller; II – studies by a research body, guaranteeing, whenever possible, the anonymization of personal data; III - transfer to third parties, upon compliance with the data processing requirements set forth in this Law; or IV – exclusive use of the controller, provide the data are anonymized, it being understood that the access thereto by third parties is prohibited. RIGHTS OF THE DATA SUBJECT","Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 16?",Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure,,
CHAPTER III RIGHTS OF THE DATA SUBJECT,Article 17,". All natural people are ensured the ownership of their personal data and the guarantee of the fundamental rights to freedom, intimacy and privacy, pursuant to the provisions of this Law.",Does the organization meet the specific compliance requirements described in Article 17?,Policy/Procedure relevant to the Article ; Process flow / SOP ; Sample records/logs demonstrating control operation ; Responsible owner & approval records,,
CHAPTER III RIGHTS OF THE DATA SUBJECT,Article 18,". The data subjects are entitled to obtain from the controller, in relation to the data of the data subjects processed by such controller, at any time and upon request: I – confirmation of the existence of processing; II – access to the data; III – correction of incomplete, inaccurate or outdated data; IV - anonymization, blocking or elimination of unnecessary or excessive data or of data processed in noncompliance with the provisions of this Law; V - portability of the data to other service providers or suppliers of product, at the express request, and observing the business and industrial secrets, in accordance with the regulation of the controlling body; VI - elimination of the personal data processed with the consent of the data subjects, except in the events set forth in article 16 of this Law; VII - information of the public and private entities with which the controller carried out the shared use of data; VIII - information on the possibility of not providing consent and on the consequences of the denial; IX – revocation of the consent, pursuant to the provisions of paragraph 5 of article 8 of this Law. Paragraph 1 The data subjects have the right to petition in relation to their data against the controller before the supervisory authority. Paragraph 2 The data subjects may oppose to the processing carried out based on one of the events of waiver of consent, in the event of noncompliance with the provisions of this Law. Paragraph 3 The rights set forth in this article shall be exercised at the express request of the data subjects or of legally appointed representatives, to a processing agent. Paragraph 4 In case it is impossible to immediately adopt the measure set forth in paragraph 3 of this article, the controller shall send to the data subjects an answer in which he or she may: I – communicate that he or she is not the data processing agent and inform, whenever possible, who is the agent; or II – inform the reasons of fact or of law that prevent immediate adoption of the measure. Paragraph 5 The request referred to in paragraph 3 of this article shall be met free of charge to the data subjects, within the terms and in accordance with the provisions set forth in the regulations. Paragraph 6 The person in charge shall immediately inform the processing agents which whom he or she has shared the use of data of the correction, elimination, anonymization or blocking of the data, for them to repeat an identical procedure. Paragraph 7 The portability of the personal data to which item V of the head provision of this article refer does not include data that have already been anonymized by the controller. Paragraph 8 The right to which paragraph 1 of this article refers may also be exercised before the consumer defense bodies.",Does the organization obtain and manage consent appropriately as required under Article 18?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Sensitive data handling SOP ; Anonymization/pseudonymization methodology ; Data segregation evidence (logical/physical) ; Purpose limitation approvals for sensitive categories ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; DPO appointment letter & contact publication ; DPO responsibilities charter ; Reports/escalations to management ; Independence & conflict-of-interest statement ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER III RIGHTS OF THE DATA SUBJECT,Article 19,". Confirmation of the existence of or access to personal data shall be provided, at the request of the data subjects: I – immediately, in simplified form; or II - by means of a clear and complete statement indicating the origin of the data, the inexistence of registration, the criteria used and the purpose of the processing, observing the business and industrial secrets, provided within up to fifteen (15) days as from the date of request of the data subject. Paragraph 1 The personal data shall be stored in a format that favor the exercise of the right to access. Paragraph 2 The information and data may be provided, at the discretion of the data subjects: I - by safe electronic means appropriate for this purpose; or II – in printed form. Paragraph 3 Whenever the processing originates from the consent of the data subjects or from an agreement, the data subjects may request full electronic copies of their personal data, observing the business and industrial secrets, pursuant to the provision of the regulations of the supervisory authority, in a format that permits the subsequent use thereof, including in other processing operations. Paragraph 4 The supervisory authority may differently provide on the terms set forth in items I and II of the head provision of this article for the specific sectors.",Does the organization obtain and manage consent appropriately as required under Article 19?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER III RIGHTS OF THE DATA SUBJECT,Article 20,". The data subjects are entitled to request a review, by a natural person, of decisions made only based on the automatized processing of personal data that affects their interests, including of decisions designed to define their personal, consumption and credit profile or the aspects of their personality. Paragraph 1 The controller shall provide, upon request, clear and adequate information on the criteria and procedures used for the automatized decision, observing the business and industrial secrets. Paragraph 2 In the event of failure to offer the information set forth in paragraph 1 of this article based on the observance of business and industrial secrets, the supervisory authority may conduct an audit o confirm discriminatory aspects in the automatized processing of personal data.",Does the organization comply with the supervisory authority’s requirements and cooperate as outlined in Article 20?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Annual LGPD training materials + attendance logs ; Internal audit plan & reports ; Control testing evidence ; Management review/minutes ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER III RIGHTS OF THE DATA SUBJECT,Article 21,. The personal data relating to the regular exercise of rights by the data subjects cannot be used against them.,"Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 21?","DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 22,". The defense of the interests and rights of the data subject may be exercised in court, individually or collectively, in the form of the provisions of the applicable law, about the instruments of individual and collective protection PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES Section I Rules","Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 22?",DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports,,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 23,". The processing of personal data by the legal entities governed by public law mentioned in the sole paragraph of article 1 of Law No. 12.527, of November 18, 2011 (Law of Access to Information) shall be carried out to achieve its public purpose, in the pursuit of the public interest, for the purpose of performing the legal attributions or duties of the public service, provided: I – the events in which they process personal data during performance of their duties, providing clear and updated information on the statutory provision, the purpose, the procedures and the practices used to perform these activities, in vehicles of easy access, preferably on their electronic websites; II – the personal data of those who request access to information, pursuant to the provisions of Law No. 12.527, of November 18, 2011 (Law on Access to the Information) are protected and preserved, it being understood that the sharing thereof within the scope of the Government and with legal entities governed by private law is prohibited; and III – a data protection officer be appointed whenever the processing of personal data is carried out, pursuant to the provisions of article 39 of this Law. Paragraph 1 The supervisory authority may provide on the forms of publicity of the processing operations. Paragraph 2 The provisions of this Law do not exempt the legal entities mentioned in the head provision of this article from instituting the authorities set forth in Law No. 12.527, of November 18, 2011 (Law on the Access to Information). Paragraph 3 The terms and procedures to exercise the data subjects’ rights before the Government shall observe the provisions of the specific law, especially the provisions of Law No. 9.507, of November 12, 1997 (Habeas Data Law), of Law No. 9.784, of January 29, 1999 (General Law on Administrative Proceedings), and of Law No. 12.527, of November 18, 2011 (Law on the Access to Information). Paragraph 4 The notary office and registration services privately exercised, by delegation of the Government, shall be granted the same treatment granted to the legal entities referred to in the head provision of this article, pursuant to the provisions of this Law. Paragraph 5 The notary office and registration bodies shall grant access to the data by electronic means to the public administration, in view of the purposes set forth in the head provision of this article.","Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 23?","Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; DPO appointment letter & contact publication ; DPO responsibilities charter ; Reports/escalations to management ; Independence & conflict-of-interest statement",,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 24,". The state-owned companies and the government-controlled private companies that act by means of competitive bid, subject to the provisions of article 173 of the Brazilian Federal Constitution, shall be granted the same treatment granted to the legal entities governed by private law, pursuant to the provisions of this Law. Sole paragraph. Whenever state-owned companies and government-controlled private companies are operationalizing public policies and within the scope of execution thereof, they shall be granted the same treatment granted to the Government bodies and entities, pursuant to the provisions of this Chapter.","Is personal data processing by public authorities limited to lawful, necessary, and transparent purposes under Article 24?",Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC),,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 25,". The data shall be kept in an interoperable and structured manner for the shared use, aiming at the execution of public policies, the provision of public services, the decentralization of public activities and the dissemination and the access to the information by the general public.",Does the organization meet the specific compliance requirements described in Article 25?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 26,". The shared use of personal data by the Government shall meet specific purposes of execution of public policies and legal attribution by the public bodies and entities, subject to the principles of protection of personal data listed in article 6 of this Law. Paragraph 1 The Government may not transfer to private entities personal data included in databases to which it has access, except: I – in cases of decentralized performance of public activity that requires the transfer, exclusively for this specific and determined purpose, subject to the provisions of Law No. 12.527, of November 18, 2011 (Law on the Access to Information); II – whenever there is a statutory provision and the transfer is based on contracts, agreements or similar instruments; and III – whenever the data are publicly accessible, subject to the provisions of this Law. Paragraph 2 The contracts and agreements set forth in paragraph 1 of this article shall be informed to the supervisory authority.","Is personal data processing by public authorities limited to lawful, necessary, and transparent purposes under Article 26?","Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports",,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 27,". The communication or the shared use of personal data of legal entities governed by public law to legal entities governed by private law shall be informed to the supervisory authority and shall be conditional upon the consent of the data subjects, except: I – in the events of waiver of consent set forth in this Law; II – in the events of shared use of data, which shall be granted publicity pursuant to the provisions of item I of the head provision of article 23 of this Law; or III – in the exceptions set forth in paragraph 1 of article 26 of this Law.",Does the organization obtain and manage consent appropriately as required under Article 27?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 28,". The communication or the shared use of personal data among bodies and entities governed by public law shall be granted publicity, pursuant to the provisions of item I of the head provision of article 23 of this Law.",Does the organization meet the specific compliance requirements described in Article 28?,Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records,,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 29,". The supervisory authority may request, at any time, to the Government entities, the conduction of personal data processing operations, specific information on the scope and nature of the data and other details of the processing carried out, and it may issue a supplementary technical report to guarantee compliance with this Law.","Is personal data processing by public authorities limited to lawful, necessary, and transparent purposes under Article 29?","Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 30,. The supervisory authority may establish supplementary rules for the communication activities and shared use of personal data. Section II Liability,Does the organization comply with the supervisory authority’s requirements and cooperate as outlined in Article 30?,Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records,,
CHAPTER IV PROCESSING OF PERSONAL DATA BY PUBLIC AUTHORITIES,Article 31,". In the event of breach of this Law as a result of the processing of personal data by public bodies, the supervisory authority may send a communication with applicable measures to cease the violation.",Does the organization comply with the supervisory authority’s requirements and cooperate as outlined in Article 31?,Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence,,
CHAPTER V,Article 32,. The supervisory authority may request to Government agents the publication of personal data protection impact assessment and suggest the adoption of standards and good practices for the processing of personal data by the Government. INTERNATIONAL TRANSFER OF DATA,Are international data transfers carried out in compliance with safeguards and conditions defined in Article 32?,Cross-border transfer register ; Transfer mechanism (SCCs/adequacy/ANPD clauses) ; Transfer impact assessment (TIA) ; Contractual safeguards and onward transfer controls ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; DPIA reports and approvals ; Risk register entries linked to processing activities ; Mitigation action plans and status tracking,,
